,Date,TradeVolume,TradeValue,Open,High,Low,Close,Change,Transaction,MA_5,MA_20,MA_60,MA_120,EMA_12,EMA_26,DIF,DEM,OSC,BIAS_5,BIAS_20,BIAS_60,BIAS_120
0,2020-01-02,6697245,1648258515,237.0,250.0,237.0,248.5,13.5,4524,0.0,0.0,0.0,0.0,248.5,248.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-03,6732871,1673198879,251.0,253.5,242.0,250.0,1.5,5029,0.0,0.0,0.0,0.0,249.3125,249.27884615384616,0.033653846153839595,0.018696581196577553,0.014957264957262042,0.0,0.0,0.0,0.0
2,2020-01-06,2144867,525948048,247.5,248.5,243.5,243.5,-6.5,1651,0.0,0.0,0.0,0.0,247.04387990762123,247.20256283883688,-0.15868293121565102,-0.05399994028384399,-0.10468299093180702,0.0,0.0,0.0,0.0
3,2020-01-07,4679799,1114327863,246.0,247.0,234.5,235.5,-8.0,3135,0.0,0.0,0.0,0.0,243.3999281609195,243.93103766617432,-0.5311095052548183,-0.21562242164257509,-0.3154870836122432,0.0,0.0,0.0,0.0
4,2020-01-08,3509637,833188440,233.5,240.5,232.0,237.0,1.5,2309,242.9,0.0,0.0,0.0,241.66109055279153,242.32370144363802,-0.6626108908464801,-0.3485913855894769,-0.3140195052570032,-0.02428983120625774,0.0,0.0,0.0
5,2020-01-09,4002214,980450430,239.0,248.5,238.0,246.0,9.0,2984,242.4,0.0,0.0,0.0,242.71567381764098,243.06003472337187,-0.34436090573089473,-0.34744469033767106,0.0030837846067763297,0.014851485148514828,0.0,0.0,0.0
6,2020-01-10,2482186,612204442,245.0,249.5,243.0,248.0,2.0,1888,242.0,0.0,0.0,0.0,243.89485271678785,243.93858193971903,-0.04372922293117654,-0.2705824079284701,0.22685318499729357,0.024793388429752067,0.0,0.0,0.0
7,2020-01-13,5206221,1319586797,249.0,258.0,246.0,257.5,9.5,3852,244.8,0.0,0.0,0.0,246.73403725721505,246.1236624184648,0.6103748387502606,-0.05887181514687547,0.669246653897136,0.051879084967320216,0.0,0.0,0.0
8,2020-01-14,4914763,1273883380,257.0,261.5,256.0,261.5,4.0,3498,250.0,0.0,0.0,0.0,249.65527025226731,248.402773203819,1.252497048448305,0.24406089807809112,1.0084361503702137,0.046,0.0,0.0,0.0
9,2020-01-15,2589282,663179628,260.0,261.0,253.5,254.0,-7.5,2211,253.4,0.0,0.0,0.0,250.47859485090777,249.1751360256305,1.3034588252772608,0.4814275317359813,0.8220312935412795,0.002367797947908423,0.0,0.0,0.0
10,2020-01-16,3367843,852397565,253.5,257.5,249.5,257.5,3.5,2615,255.7,0.0,0.0,0.0,251.76334269515573,250.25487352042694,1.5084691747287877,0.7061383747725124,0.8023307999562753,0.007039499413375094,0.0,0.0,0.0
11,2020-01-17,7821520,2082772240,261.0,273.5,261.0,262.0,4.5,5603,258.5,0.0,0.0,0.0,253.58338675844863,251.69794736948896,1.885439388959668,0.9594027746450404,0.9260366143146275,0.013539651837524178,0.0,0.0,0.0
12,2020-01-20,2700700,708599338,266.0,267.0,260.0,260.5,-1.5,2263,259.1,0.0,0.0,0.0,254.78437357574327,252.72910624749574,2.055267328247538,1.1913257878541532,0.863941540393385,0.005403319181783007,0.0,0.0,0.0
13,2020-01-30,5782947,1443858521,254.5,256.0,244.5,245.0,-15.5,4169,255.8,0.0,0.0,0.0,253.11840715330973,251.8610356336131,1.257371519696619,1.2051426042333577,0.05222891546326136,-0.04222048475371388,0.0,0.0,0.0
14,2020-01-31,2967877,736212873,249.0,251.5,243.5,247.5,2.5,2299,254.5,0.0,0.0,0.0,252.17722777135648,251.3892784034976,0.7879493678588858,1.1186611617057947,-0.33071179384690885,-0.0275049115913556,0.0,0.0,0.0
15,2020-02-03,4396811,1061018274,241.5,243.5,238.5,243.5,-4.0,2773,251.7,0.0,0.0,0.0,250.74324746606112,250.56399507361667,0.1792523924444538,0.9253378401091215,-0.7460854476646677,-0.0325784664282876,0.0,0.0,0.0
16,2020-02-04,1841450,453171550,241.5,249.0,241.5,248.0,4.5,1400,248.9,0.0,0.0,0.0,250.2950192526765,250.30372718261106,-0.008707929934558933,0.7342252123035302,-0.7429331422380892,-0.0036159100040177006,0.0,0.0,0.0
17,2020-02-05,2944824,723063880,249.0,250.5,243.0,244.0,-4.0,2158,245.6,0.0,0.0,0.0,249.27618235057076,249.68093005076204,-0.4047477001912796,0.5022517677304109,-0.9069994679216905,-0.006514657980456003,0.0,0.0,0.0
18,2020-02-06,6271960,1597337682,250.0,259.0,249.5,257.5,13.5,4414,248.1,0.0,0.0,0.0,250.5966254932184,250.43480153496492,0.1618239582534784,0.43317064189073673,-0.27134668363725833,0.037887948407900066,0.0,0.0,0.0
