,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-05-04,86712,638176,7.44,7.44,7.28,7.4,-0.05,48
1,2020-05-05,124858,930398,7.4,7.49,7.4,7.45,0.05,50
2,2020-05-06,159499,1172290,7.45,7.5,7.27,7.36,-0.09,72
3,2020-05-07,93023,683866,7.22,7.38,7.22,7.34,-0.02,48
4,2020-05-08,126498,926824,7.55,7.67,7.25,7.29,-0.05,59
5,2020-05-11,110577,805938,7.22,7.32,7.22,7.3,0.01,49
6,2020-05-12,103226,743126,7.27,7.3,7.16,7.28,-0.02,46
7,2020-05-13,92379,659920,7.28,7.28,7.02,7.11,-0.17,57
8,2020-05-14,76286,544339,7.19,7.2,7.08,7.12,0.01,37
9,2020-05-15,77025,548816,7.17,7.2,7.05,7.08,-0.04,39
10,2020-05-18,118000,828970,7.04,7.09,7.0,7.01,-0.07,48
11,2020-05-19,57361,405707,7.06,7.1,7.06,7.07,0.06,36
12,2020-05-20,141503,994271,7.08,7.1,7.0,7.02,-0.05,60
13,2020-05-21,68223,482632,7.19,7.19,7.03,7.13,0.11,39
14,2020-05-22,41540,292530,7.06,7.07,7.02,7.02,-0.11,26
15,2020-05-25,73371,515859,7.04,7.06,6.98,6.98,-0.04,35
16,2020-05-26,113468,800526,6.98,7.12,6.98,7.07,0.09,52
17,2020-05-27,60249,422963,6.97,7.09,6.97,7.03,-0.04,29
18,2020-05-28,280454,1970208,7.18,7.18,7.0,7.03,0.0,41
19,2020-05-29,48360,342590,7.01,7.13,7.01,7.08,0.05,32
