,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-03-02,28636411,822356963,27.65,29.7,27.3,29.7,2.7,12320
1,2020-03-03,22537390,672344175,30.0,30.65,28.85,29.8,0.1,10599
2,2020-03-04,11399290,340580801,30.35,30.4,29.3,29.8,0.0,5250
3,2020-03-05,7908077,234569627,30.35,30.35,29.2,29.4,-0.4,3963
4,2020-03-06,11783793,347670086,29.6,30.25,28.2,28.2,-1.2,5684
5,2020-03-09,13555632,387101344,27.65,29.4,27.1,28.2,0.0,6913
6,2020-03-10,33674720,1011760998,28.3,31.0,28.3,30.6,2.4,14131
7,2020-03-11,21392200,632449798,30.6,30.9,27.8,28.4,-2.2,10357
8,2020-03-12,16801004,454067785,28.6,28.7,25.65,26.2,-2.2,7273
9,2020-03-13,14572141,357812325,24.55,26.2,23.65,25.8,-0.4,6934
10,2020-03-16,10747584,266350515,25.95,26.5,23.25,23.25,-2.55,5627
11,2020-03-17,11430705,266830240,22.1,24.2,21.65,23.35,0.1,5667
12,2020-03-18,8665494,196081182,24.2,24.2,21.05,21.05,-2.3,4651
13,2020-03-19,5521971,108075375,20.1,20.7,18.95,18.95,-2.1,2199
14,2020-03-20,10805268,214006503,19.65,20.55,18.95,18.95,0.0,5123
15,2020-03-23,5112070,88280440,17.55,17.8,17.1,17.15,-1.8,2211
16,2020-03-24,4468908,81434783,17.9,18.6,17.7,18.5,1.35,2276
17,2020-03-25,9039911,180803831,19.35,20.35,19.15,20.2,1.7,3624
18,2020-03-26,5205290,103369140,20.15,20.9,19.15,20.9,0.7,2390
19,2020-03-27,6470607,135964999,21.5,21.85,20.2,20.2,-0.7,3088
20,2020-03-30,3222175,64197227,19.35,20.65,19.15,20.2,0.0,1561
21,2020-03-31,3448066,69975817,20.55,20.9,19.8,20.0,-0.2,1682
