,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2021-07-01,6270730,235038441,37.7,38.55,36.8,37.05,-1.35,3483
1,2021-07-02,13921252,544995918,36.9,40.15,36.75,39.9,2.85,7358
2,2021-07-05,24458147,1057704120,43.0,43.85,42.05,43.85,3.95,11132
3,2021-07-06,29095232,1250445481,44.15,45.0,40.7,42.25,-1.6,15706
4,2021-07-07,37999451,1675758688,41.3,46.2,41.05,44.4,2.15,18642
5,2021-07-08,45093306,2147153181,46.75,48.8,45.6,46.1,1.7,21883
6,2021-07-09,21853857,1019462184,44.75,48.3,43.95,47.2,1.1,12095
7,2021-07-12,38130901,1895049171,47.5,51.6,46.3,51.2,4.0,20492
8,2021-07-13,42450959,2186732571,51.2,55.6,47.05,49.7,-1.5,24392
9,2021-07-14,18251083,882703313,50.5,51.3,46.6,47.45,-2.25,10480
10,2021-07-15,11409694,537276466,47.5,48.4,45.85,47.4,-0.05,6870
11,2021-07-16,7679981,363274476,46.55,48.45,46.45,46.55,-0.85,4956
12,2021-07-19,19717918,956036780,46.2,49.95,46.1,49.3,2.75,11096
13,2021-07-20,28050521,1392286843,48.05,51.0,47.85,49.05,-0.25,13981
14,2021-07-21,31131189,1579806705,49.3,52.0,49.3,50.6,1.55,17367
15,2021-07-22,17045471,867909613,51.0,52.5,49.2,50.6,0.0,9720
16,2021-07-23,10453259,516289530,50.8,51.5,48.15,48.2,-2.4,6184
17,2021-07-26,6814235,337747518,48.9,50.4,48.7,49.05,0.85,4173
18,2021-07-27,7487784,356241147,49.8,49.8,46.1,46.1,-2.95,4509
19,2021-07-28,8685650,382102669,45.2,46.3,41.5,44.5,-1.6,4484
20,2021-07-29,4402629,196842793,45.5,45.7,43.65,45.25,0.75,2823
21,2021-07-30,4304543,192437962,45.25,46.1,43.25,43.25,-2.0,2713
