,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-06-01,10053092,611429280,60.9,61.1,60.3,60.9,1.1,5337
1,2020-06-02,14260048,863092185,60.8,61.4,60.0,60.1,-0.8,7444
2,2020-06-03,18988199,1154137550,60.7,61.4,59.7,61.2,1.1,8273
3,2020-06-04,39551479,2475059878,62.0,63.2,61.8,62.2,1.0,18855
4,2020-06-05,38561632,2456640835,63.1,64.3,62.8,64.2,2.0,18044
5,2020-06-08,33778647,2155237248,64.9,65.3,62.6,63.8,-0.4,15177
6,2020-06-09,20722916,1316703151,63.9,64.5,63.0,63.4,-0.4,9916
7,2020-06-10,14467026,923363264,63.6,64.3,63.4,64.0,0.6,6394
8,2020-06-11,20335555,1273914610,64.0,64.0,61.6,61.8,-2.2,10669
9,2020-06-12,13359687,810037709,59.8,61.3,59.5,61.2,-0.6,6954
10,2020-06-15,17770959,1073717110,60.7,61.1,60.0,60.0,-1.2,10728
11,2020-06-16,11191312,684235774,60.6,61.5,60.5,61.5,1.5,5414
12,2020-06-17,10484524,638126264,61.7,62.0,60.4,60.6,-0.9,5728
13,2020-06-18,12311826,742041718,60.6,60.6,60.0,60.4,-0.2,5874
14,2020-06-19,23045854,1382848940,60.1,60.5,59.8,59.8,-0.6,9162
15,2020-06-22,11582623,695292780,60.0,60.6,59.8,59.9,0.1,4322
16,2020-06-23,10604259,636749878,60.4,60.5,59.5,60.0,0.1,3916
17,2020-06-24,15822620,957456131,60.0,60.9,59.9,60.8,0.8,5751
18,2020-06-29,16722939,997950840,60.6,60.6,58.8,59.5,-1.3,6259
19,2020-06-30,11349802,689977822,60.7,61.2,60.4,61.0,1.5,5653
