,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-09-01,9867723,510695371,51.8,52.4,50.8,52.3,0.4,5377
1,2020-09-02,15295645,782231301,52.0,52.1,50.8,51.1,-1.2,7964
2,2020-09-03,24891012,1327062016,52.5,54.3,52.2,53.2,2.1,12093
3,2020-09-04,8662853,452151209,51.7,52.8,51.5,52.8,-0.4,4592
4,2020-09-07,22908147,1249527077,53.1,55.2,52.8,54.3,1.5,11312
5,2020-09-08,14432392,789234960,55.1,55.3,53.8,54.8,0.5,7698
6,2020-09-09,7914468,426818547,54.1,54.4,53.4,54.2,-0.6,4447
7,2020-09-10,10299924,548726839,54.2,54.2,52.8,53.0,-1.2,5368
8,2020-09-11,3946722,209989950,53.5,53.7,52.7,53.3,0.3,2371
9,2020-09-14,18644211,1021027741,53.6,55.5,53.5,54.8,1.5,8691
10,2020-09-15,12921968,708062044,55.3,55.6,54.2,54.5,-0.3,6051
11,2020-09-16,10237061,562766843,54.9,55.2,54.4,55.2,0.7,5257
12,2020-09-17,27334003,1537335535,55.4,56.8,55.0,56.8,1.6,13079
13,2020-09-18,16460482,935164713,57.4,57.6,56.3,56.3,-0.5,7872
14,2020-09-21,12672377,720659217,56.3,57.4,56.2,56.6,0.3,6349
15,2020-09-22,13204549,730238402,56.6,56.6,54.8,54.9,-1.7,7106
16,2020-09-23,13226005,711345255,55.0,55.2,53.0,53.3,-1.6,7469
17,2020-09-24,11282430,599906118,52.7,53.9,52.2,52.9,-0.4,5962
18,2020-09-25,9188211,484202902,53.3,53.6,52.3,52.5,-0.4,4341
19,2020-09-28,13639203,749230465,53.3,56.0,53.1,55.1,2.6,7390
20,2020-09-29,27776076,1567069079,56.0,57.1,55.2,56.9,1.8,13047
21,2020-09-30,20921893,1194473232,56.5,57.5,55.9,57.5,0.6,10330
