,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,39909583,3470538038,85.0,89.7,84.5,86.0,2.6,21014
1,2020-01-03,18771916,1597541741,87.4,87.6,83.6,84.8,-1.2,9653
2,2020-01-06,7741278,648294621,84.0,84.7,83.3,83.7,-1.1,4068
3,2020-01-07,16643874,1353175852,83.4,84.2,80.0,81.1,-2.6,8977
4,2020-01-08,25273946,2102892722,82.5,84.6,82.0,82.6,1.5,11943
5,2020-01-09,14067766,1183321659,84.8,84.8,83.1,83.4,0.8,8440
6,2020-01-10,11330221,950555982,83.6,84.8,82.8,84.3,0.9,5726
7,2020-01-13,22769190,1958564324,85.0,87.3,84.3,85.5,1.2,13049
8,2020-01-14,10277966,877021563,86.3,86.4,84.5,85.3,-0.2,5240
9,2020-01-15,7547167,639147187,86.1,86.1,83.8,83.8,-1.5,4305
10,2020-01-16,9343213,779130542,84.0,84.4,82.8,83.4,-0.4,5042
11,2020-01-17,8028392,669125047,84.2,84.2,82.9,83.6,0.2,4149
12,2020-01-20,11357538,965451065,84.5,85.4,84.4,85.2,1.6,5634
13,2020-01-30,19179714,1524418064,82.0,82.1,77.5,77.8,-7.4,9997
14,2020-01-31,15225694,1200043326,78.6,80.8,77.5,78.1,0.3,8033
15,2020-02-03,11822187,915858203,75.2,79.4,74.2,79.4,1.3,6138
16,2020-02-04,9951627,790582299,79.8,80.4,78.1,79.9,0.5,5803
17,2020-02-05,30902694,2577565656,82.5,84.8,81.5,84.4,4.5,14000
18,2020-02-06,13576811,1152147435,85.4,85.4,83.8,85.1,0.7,7332
19,2020-02-07,10261379,866807236,84.5,85.2,83.4,84.3,-0.8,5271
20,2020-02-10,8225723,683489665,82.9,84.0,82.3,83.5,-0.8,4783
21,2020-02-11,7788211,656221235,84.0,85.1,83.4,85.1,1.6,4336
22,2020-02-12,10126549,857075468,85.0,85.0,84.4,84.7,-0.4,5760
23,2020-02-13,20343159,1756344086,85.9,86.9,85.6,86.5,1.8,9521
