,Date,TradeVolume,TradeValue,Open,High,Low,Close,Change,Transaction,MA_5,MA_20,MA_60,MA_120,EMA_12,EMA_26,DIF,DEM,OSC,BIAS_5,BIAS_20,BIAS_60,BIAS_120
0,2020-01-02,1516632,102100564,65.1,68.4,65.1,68.0,3.1,996,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-03,843140,56672820,68.2,68.3,66.2,67.5,-0.5,620,0.0,0.0,0.0,0.0,67.72916666666667,67.74038461538461,-0.011217948717941795,-0.0062321937321898856,-0.004985754985751909,0.0,0.0,0.0,0.0
2,2020-01-06,629451,41680826,65.7,66.9,65.6,66.2,-1.3,352,0.0,0.0,0.0,0.0,67.1323325635104,67.18693937900444,-0.054606815494040006,-0.026057858388685833,-0.028548957105354173,0.0,0.0,0.0,0.0
3,2020-01-07,455046,29775822,67.2,67.2,64.6,65.1,-1.1,308,0.0,0.0,0.0,0.0,66.49080459770116,66.60352232700829,-0.11271772930713553,-0.055414183225559036,-0.05730354608157649,0.0,0.0,0.0,0.0
4,2020-01-08,289082,18646221,64.6,65.5,64.0,64.3,-0.8,206,66.22,0.0,0.0,0.0,65.89557081839024,66.06932599826936,-0.17375517987912303,-0.09061795424339697,-0.08313722563572606,-0.028994261552401115,0.0,0.0,0.0
5,2020-01-09,292100,18986430,65.2,65.5,64.7,64.7,0.4,179,65.56,0.0,0.0,0.0,65.60498421077438,65.79506092216837,-0.19007671139399918,-0.117576807231135,-0.07249990416286417,-0.013117754728492975,0.0,0.0,0.0
6,2020-01-10,164050,10660745,65.4,65.4,64.7,64.9,0.2,124,65.03999999999999,0.0,0.0,0.0,65.44766945069162,65.63587897703354,-0.18820952634192167,-0.13545206412859442,-0.05275746221332725,-0.0021525215252150426,0.0,0.0,0.0
7,2020-01-13,225592,14823916,65.0,66.3,65.0,65.6,0.7,184,64.92,0.0,0.0,0.0,65.47945848844535,65.63009798481245,-0.1506394963671056,-0.1391018896952352,-0.011537606671870398,0.01047443006777561,0.0,0.0,0.0
8,2020-01-14,525083,35182433,65.7,67.7,65.7,67.1,1.5,389,65.32,0.0,0.0,0.0,65.8000592793229,65.84796973212963,-0.04791045280673245,-0.11803621537093978,0.07012576256420733,0.027250459277403574,0.0,0.0,0.0
9,2020-01-15,1471769,100829250,67.1,69.2,67.1,68.9,1.8,1035,66.24,0.0,0.0,0.0,66.38749684111662,66.2691202046377,0.11837663647891361,-0.06506601280935675,0.18344264928827037,0.04015700483091804,0.0,0.0,0.0
10,2020-01-16,863600,59766238,69.5,70.0,68.2,68.9,0.0,611,67.08,0.0,0.0,0.0,66.8472243384622,66.61034614756011,0.2368781909020896,0.000997653672829325,0.23588053722926028,0.027131782945736545,0.0,0.0,0.0
11,2020-01-17,320253,21942305,69.3,69.3,68.1,68.4,-0.5,238,67.78,0.0,0.0,0.0,67.12330275353918,66.83023332185496,0.2930694316842164,0.0637224225722623,0.2293470091119541,0.009147241074063213,0.0,0.0,0.0
12,2020-01-20,381010,26110883,68.5,69.4,67.7,68.0,-0.4,279,68.26,0.0,0.0,0.0,67.27553070079993,66.96727127720467,0.3082594235952598,0.11547494794771597,0.19278447564754386,-0.003808965719308601,0.0,0.0,0.0
13,2020-01-30,779887,48581394,61.5,63.6,61.5,62.2,-5.8,534,67.28,0.0,0.0,0.0,66.41132987505408,66.43184997859218,-0.02052010353810374,0.08702468170883304,-0.10754478524693678,-0.07550535077288939,0.0,0.0,0.0
14,2020-01-31,520017,32455358,62.8,63.2,61.6,62.2,0.0,377,65.94,0.0,0.0,0.0,65.70586002553102,65.9740674718918,-0.2682074463607762,0.013387373648496369,-0.28159482000927255,-0.05671822869275091,0.0,0.0,0.0
15,2020-02-03,619591,36876313,60.5,60.8,58.3,60.5,-1.7,427,64.26,0.0,0.0,0.0,64.84555061042288,65.40143504594106,-0.5558844355181805,-0.10376452086275535,-0.4521199146554251,-0.05851229380641153,0.0,0.0,0.0
16,2020-02-04,310000,19183800,62.0,62.4,61.4,61.8,1.3,194,62.94,0.0,0.0,0.0,64.34792809339841,65.03585793791693,-0.6879298445185213,-0.22328903845843626,-0.46464080606008507,-0.01811248808388943,0.0,0.0,0.0
17,2020-02-05,414080,25940832,62.7,63.0,62.0,62.3,0.5,274,61.8,0.0,0.0,0.0,64.01647482365246,64.76555999710801,-0.7490851734555548,-0.33037739783947667,-0.41870777561607814,0.008090614886731393,0.0,0.0,0.0
18,2020-02-06,694316,44696202,63.0,65.6,62.6,65.3,3.0,500,62.42,0.0,0.0,0.0,64.2225618369803,64.81708774667582,-0.5945259096955198,-0.38397958919959946,-0.2105463204959203,0.04613905799423254,0.0,0.0,0.0
19,2020-02-07,456100,28949640,63.7,64.4,62.8,62.8,-2.5,355,62.54,65.235,0.0,0.0,63.99567467116839,64.62686104076005,-0.63118636959166,-0.4339976138402734,-0.19718875575138656,0.004157339302846147,-0.037326588487775,0.0,0.0
20,2020-02-10,314594,19556597,60.6,63.4,60.6,63.2,0.4,270,63.08,64.995,0.0,0.0,63.86948341432286,64.49496590317139,-0.6254824888485331,-0.4726511043655632,-0.1528313844829699,0.0019023462270133886,-0.02761750903915688,0.0,0.0
21,2020-02-11,135108,8521604,63.7,63.7,62.6,63.0,-0.2,123,63.32000000000001,64.77000000000001,0.0,0.0,63.73223831397634,64.35926719982416,-0.627028885847821,-0.5037561755772293,-0.12327271027059172,-0.0050536955148453465,-0.027327466419638874,0.0,0.0
22,2020-02-12,161023,10244755,64.1,64.1,63.4,63.4,0.4,132,63.54,64.63,0.0,0.0,63.680004551990294,64.2736240292665,-0.5936194772762065,-0.5218355577525443,-0.07178391952366214,-0.0022033364809568865,-0.019031409562122806,0.0,0.0
23,2020-02-13,199100,12760019,64.0,64.6,63.6,63.6,0.2,169,63.2,64.555,0.0,0.0,63.66746868186283,64.214383809649,-0.5469151277861641,-0.5268752711328186,-0.02003985665334551,0.00632911392405061,-0.014793586863914573,0.0,0.0
24,2020-02-14,109001,6961963,63.6,64.1,63.6,63.8,0.2,87,63.4,64.53,0.0,0.0,63.688176065214144,64.17844031951304,-0.49026425429889997,-0.5195253003615385,0.029261046062638574,0.006309148264984205,-0.011312567797923508,0.0,0.0
25,2020-02-17,152791,9728911,63.8,64.0,63.4,63.5,-0.3,141,63.46,64.47,0.0,0.0,63.658844824021195,64.12032868563212,-0.4614838616109225,-0.5078818223584451,0.04639796074752267,0.0006303183107469137,-0.015045757716767472,0.0,0.0
26,2020-02-18,503100,31507949,63.5,64.0,62.0,62.4,-1.1,304,63.339999999999996,64.345,0.0,0.0,63.46302364926838,63.97466129382441,-0.511637644556032,-0.5086348074040894,-0.0030028371519426056,-0.014840543100726205,-0.030227678918330877,0.0,0.0
27,2020-02-19,440000,27592600,62.5,63.4,62.4,62.5,0.1,312,63.160000000000004,64.19,0.0,0.0,63.31347504770722,63.851105287506016,-0.5376302397987942,-0.5144451326866374,-0.023185107112156822,-0.010449651678277449,-0.026328088487303284,0.0,0.0
28,2020-02-20,421193,26402761,62.7,63.2,62.3,62.5,0.0,286,62.94,63.959999999999994,0.0,0.0,63.18733216806958,63.73899040181611,-0.5516582337465294,-0.5218992876447178,-0.029758946101811623,-0.006990784874483599,-0.02282676672920566,0.0,0.0
29,2020-02-21,217585,13470010,62.5,62.5,61.6,61.9,-0.6,159,62.55999999999999,63.61,0.0,0.0,62.9879531836531,63.58773781161504,-0.5997846279619452,-0.5374956630857896,-0.06228896487615565,-0.010549872122761983,-0.02688256563433424,0.0,0.0
30,2020-02-24,514000,31232600,61.9,61.9,60.3,60.9,-1.0,448,62.04,63.21,0.0,0.0,62.66490911523423,63.36846996061962,-0.7035608453853897,-0.5707416247513819,-0.13281922063400775,-0.01837524177949711,-0.03654485049833891,0.0,0.0
31,2020-02-25,401120,24145048,59.0,60.5,59.0,60.4,-0.5,326,61.64,62.81,0.0,0.0,62.31479203781512,63.128104116086604,-0.8133120782714869,-0.6192941827549627,-0.19401789551652415,-0.020116807268007818,-0.038369686355675905,0.0,0.0
32,2020-02-26,105000,6345000,60.1,60.7,60.0,60.5,0.1,76,61.239999999999995,62.435,0.0,0.0,62.03446217227174,62.91675677108383,-0.8822945988120949,-0.6719276263745874,-0.21036697243750757,-0.012083605486609977,-0.03099223192119808,0.0,0.0
33,2020-02-27,421235,25266205,60.9,61.0,59.1,59.1,-1.4,321,60.56,62.28000000000001,0.0,0.0,61.581459854403455,62.61175510741118,-1.030295253007722,-0.7436375129335098,-0.2866577400742123,-0.02410832232496699,-0.0510597302504818,0.0,0.0
34,2020-03-02,461874,27094415,58.7,59.6,57.7,58.9,-0.2,362,59.96,62.114999999999995,0.0,0.0,61.16773236789949,62.31686556531335,-1.1491331974138603,-0.8247695608981559,-0.32436363651570443,-0.017678452301534395,-0.051758834420027315,0.0,0.0
35,2020-03-03,422148,25015706,61.0,61.0,58.7,58.7,-0.2,344,59.52,62.025,0.0,0.0,60.78715093317544,62.03105055341379,-1.243899620238352,-0.9086227846931006,-0.33527683554525145,-0.013776881720430111,-0.05360741636436914,0.0,0.0
36,2020-03-04,528194,30690829,59.6,59.6,57.7,58.0,-0.7,433,59.040000000000006,61.835,0.0,0.0,60.35746974820947,61.714074109077245,-1.3566043608677774,-0.9982423665016903,-0.35836199436608707,-0.01761517615176162,-0.06201989164712543,0.0,0.0
37,2020-03-05,464694,27443646,59.0,59.6,58.4,59.0,1.0,395,58.74000000000001,61.67,0.0,0.0,60.14826210425292,61.50162509268555,-1.3533629884326288,-1.0692812450857223,-0.2840817433469065,0.004426285325161574,-0.04329495702934979,0.0,0.0
38,2020-03-06,318090,18584341,59.0,59.4,57.9,58.2,-0.8,250,58.56,61.315,0.0,0.0,59.84808494226342,61.24426607727894,-1.3961811350155173,-1.134672087989063,-0.2615090470264543,-0.006147540983606548,-0.050803229226127296,0.0,0.0
39,2020-03-09,512101,28964857,57.2,57.4,56.0,56.0,-2.2,381,57.980000000000004,60.975,0.0,0.0,59.25532911312831,60.83705774376722,-1.5817286306389065,-1.2240952829004466,-0.3576333477384599,-0.03414970679544677,-0.0815908159081591,0.0,0.0
40,2020-03-10,511000,28336500,55.0,56.5,54.0,56.5,0.5,371,57.54,60.64,0.0,0.0,58.8309823980058,60.50149198007484,-1.6705095820690374,-1.3133876379260134,-0.357121944143024,-0.018074383037886672,-0.06827176781002639,0.0,0.0
41,2020-03-11,374200,20824439,56.7,57.3,54.7,54.7,-1.8,294,56.879999999999995,60.225,0.0,0.0,58.19487595247782,60.05409574076684,-1.8592197882890176,-1.422563355641523,-0.43665643264749465,-0.03832630098452871,-0.09173931091739308,0.0,0.0
42,2020-03-12,1153999,57988499,53.2,53.2,49.25,49.25,-5.45,717,54.92999999999999,59.517500000000005,0.0,0.0,56.817695719311054,59.22343947576977,-2.405743756458719,-1.6192128190739363,-0.7865309373847826,-0.10340433278718357,-0.17251228630234813,0.0,0.0
43,2020-03-13,2909081,129300295,44.4,46.35,44.35,44.75,-4.5,1632,52.24000000000001,58.575,0.0,0.0,54.95993381672704,58.11378880493455,-3.153854988207513,-1.9261579645839522,-1.227697023623561,-0.1433767228177643,-0.23602219376867267,0.0,0.0
