,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-06-01,5401301,52056575,9.37,9.75,9.32,9.53,0.19,1212
1,2020-06-02,4356997,42664717,9.58,9.96,9.53,9.96,0.43,1232
2,2020-06-03,4816160,47950970,9.99,10.05,9.83,9.84,-0.12,1421
3,2020-06-04,1376594,13541711,9.9,9.97,9.74,9.79,-0.05,511
4,2020-06-05,2145501,21268714,9.84,10.0,9.83,9.86,0.07,701
5,2020-06-08,5335770,53448908,9.99,10.15,9.9,9.95,0.09,1208
6,2020-06-09,6450195,64926174,9.97,10.25,9.9,9.9,-0.05,1816
7,2020-06-10,9103300,93223164,9.93,10.65,9.86,10.65,0.75,2073
8,2020-06-11,24749884,269117278,11.0,11.2,10.45,10.5,-0.15,6508
9,2020-06-12,4890745,50063995,10.15,10.45,10.05,10.25,-0.25,1511
10,2020-06-15,2559890,26416931,10.5,10.5,10.2,10.2,-0.05,891
11,2020-06-16,3548793,36555063,10.4,10.5,10.1,10.4,0.2,1024
12,2020-06-17,2074100,21781690,10.65,10.7,10.4,10.5,0.1,782
13,2020-06-18,2036377,21193196,10.5,10.6,10.35,10.4,-0.1,609
14,2020-06-19,6062519,64691300,10.45,10.9,10.2,10.75,0.35,1747
15,2020-06-22,3081456,32754661,10.75,10.85,10.5,10.5,-0.25,852
16,2020-06-23,2114264,21956742,10.7,10.7,10.25,10.3,-0.2,713
17,2020-06-24,1846790,19203753,10.4,10.55,10.3,10.45,0.15,538
18,2020-06-29,1379364,14249895,10.3,10.5,10.25,10.3,-0.15,428
19,2020-06-30,1586327,16338500,10.4,10.45,10.25,10.3,0.0,476
