,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-07-01,3726000,39433194,10.35,10.75,10.35,10.5,0.2,1282
1,2020-07-02,5164801,55541785,10.6,10.9,10.55,10.85,0.35,1524
2,2020-07-03,20544240,242897597,11.55,11.9,11.5,11.9,1.05,4494
3,2020-07-06,48151227,620795710,13.05,13.05,12.15,12.95,1.05,14581
4,2020-07-07,14300457,177717631,12.7,12.8,12.15,12.35,-0.6,5235
5,2020-07-08,12515036,158628299,12.4,12.9,12.3,12.85,0.5,3734
6,2020-07-09,8377716,103595833,12.65,12.75,12.1,12.35,-0.5,2977
7,2020-07-10,6635974,78555641,12.3,12.3,11.6,11.6,-0.75,2511
8,2020-07-13,3311534,38938038,11.7,12.0,11.65,11.7,0.1,1257
9,2020-07-14,3195271,37195814,11.9,11.9,11.35,11.5,-0.2,1094
10,2020-07-15,7130235,82818149,11.65,11.8,11.35,11.4,-0.1,1647
11,2020-07-16,5049055,56611559,11.4,11.5,11.05,11.15,-0.25,1705
12,2020-07-17,5413613,59230752,11.25,11.4,10.65,10.8,-0.35,1754
13,2020-07-20,3798594,40433139,10.9,10.9,10.5,10.65,-0.15,1170
14,2020-07-21,3145284,34941549,10.9,11.3,10.9,11.1,0.45,1178
15,2020-07-22,2768124,30801168,11.15,11.35,10.9,11.1,0.0,860
16,2020-07-23,2357396,26232393,11.2,11.25,10.95,11.15,0.05,616
17,2020-07-24,2297104,25190769,11.2,11.2,10.8,10.85,-0.3,774
18,2020-07-27,1585086,17025917,11.0,11.0,10.6,10.6,-0.25,663
19,2020-07-28,2554517,26805295,10.6,10.8,10.35,10.4,-0.2,820
20,2020-07-29,2665826,28195628,10.35,10.7,10.35,10.5,0.1,675
21,2020-07-30,1892806,20487726,10.7,11.0,10.65,10.9,0.4,660
22,2020-07-31,962081,10464122,10.9,11.0,10.8,10.85,-0.05,362
