,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-04-01,1523397,12616493,8.11,8.43,8.11,8.26,0.02,584
1,2020-04-06,1260063,10458990,8.23,8.39,8.17,8.35,0.09,516
2,2020-04-07,3116500,26876262,8.5,8.86,8.43,8.61,0.26,1001
3,2020-04-08,2085532,18364116,8.61,8.98,8.57,8.87,0.26,851
4,2020-04-09,1759626,15665861,9.01,9.09,8.8,8.88,0.01,661
5,2020-04-10,976642,8649457,8.83,8.98,8.81,8.88,0.0,380
6,2020-04-13,1024006,9104504,8.91,8.97,8.75,8.91,0.03,503
7,2020-04-14,2138100,19393176,8.93,9.15,8.85,9.12,0.21,823
8,2020-04-15,1627793,14985695,9.23,9.3,9.12,9.18,0.06,731
9,2020-04-16,1653179,15295077,9.1,9.5,9.02,9.5,0.32,667
10,2020-04-17,3120502,29884186,9.9,9.9,9.24,9.3,-0.2,1081
11,2020-04-20,824661,7642563,9.35,9.44,9.2,9.21,-0.09,376
12,2020-04-21,2666351,24144986,9.24,9.35,8.81,8.81,-0.4,922
13,2020-04-22,1588350,14298588,8.71,9.19,8.65,9.16,0.35,612
14,2020-04-23,1888113,17665248,9.2,9.44,9.2,9.42,0.26,672
15,2020-04-24,1068250,9997669,9.44,9.44,9.27,9.27,-0.15,443
16,2020-04-27,2658410,25435903,9.33,9.79,9.33,9.68,0.41,908
17,2020-04-28,5127239,51337163,9.83,10.3,9.68,10.3,0.62,1707
18,2020-04-29,8540801,87479360,10.35,10.6,9.99,10.0,-0.3,3154
19,2020-04-30,2744119,27456561,10.1,10.15,9.93,9.99,-0.01,946
