,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2021-08-02,55143961,1425464983,26.4,26.6,25.2,25.5,-0.1,23431
1,2021-08-03,81471033,2179857828,25.45,28.0,25.2,27.75,2.25,34163
2,2021-08-04,142279158,4034783265,28.4,29.35,27.3,29.0,1.25,61084
3,2021-08-05,179464043,5453655311,28.8,31.8,28.3,30.65,1.65,77219
4,2021-08-06,91157425,2741082369,30.6,31.1,29.1,29.25,-1.4,42536
5,2021-08-09,71310836,2121795365,28.9,30.7,28.5,29.35,0.1,31477
6,2021-08-10,70032328,1973468474,28.95,29.6,27.45,28.1,-1.25,31371
7,2021-08-11,58301619,1593130732,27.15,28.25,26.4,26.5,-1.6,26132
8,2021-08-12,46106428,1252842585,26.6,27.8,26.55,26.9,0.4,20383
9,2021-08-13,31643248,822062472,26.5,26.85,25.5,25.55,-1.35,14427
10,2021-08-16,25550248,641318436,25.0,25.9,24.55,24.9,-0.65,10792
11,2021-08-17,24173554,606633312,25.7,25.9,24.1,24.1,-0.8,10280
12,2021-08-18,29057086,719428150,23.85,25.9,23.5,25.7,1.6,11917
13,2021-08-19,13634235,340491814,25.25,25.45,24.6,24.6,-1.1,6368
14,2021-08-20,14203885,353106153,25.0,25.2,24.4,24.8,0.2,6278
15,2021-08-23,32395206,855459555,25.7,27.15,25.4,26.95,2.15,13664
16,2021-08-24,31585377,850995548,27.45,27.65,26.2,26.65,-0.3,13482
17,2021-08-25,35138216,959923291,27.0,27.8,26.85,27.0,0.35,14464
18,2021-08-26,30491535,843508233,27.9,28.1,27.2,27.2,0.2,11989
19,2021-08-27,14070375,382323566,27.3,27.45,26.75,27.35,0.15,5673
20,2021-08-30,23450039,649419835,27.9,27.9,27.4,27.8,0.45,8689
21,2021-08-31,20507848,525527147,25.4,26.25,25.35,25.7,0.0,9195
