,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,6570623,59880777,9.13,9.29,9.0,9.03,-0.1,2180
1,2020-01-03,7156525,62851800,9.06,9.12,8.61,8.65,-0.38,2377
2,2020-01-06,4500023,37902102,8.6,8.6,8.35,8.36,-0.29,1518
3,2020-01-07,4593882,37816215,8.38,8.38,8.16,8.22,-0.14,1465
4,2020-01-08,3922681,31696224,8.02,8.15,8.02,8.1,-0.12,1213
5,2020-01-09,2240303,18355005,8.15,8.23,8.13,8.18,0.08,736
6,2020-01-10,2333261,19144924,8.25,8.29,8.14,8.2,0.02,611
7,2020-01-13,2305624,18984051,8.22,8.27,8.21,8.22,0.02,715
8,2020-01-14,2199318,18125597,8.24,8.28,8.22,8.23,0.01,663
9,2020-01-15,2017695,16598956,8.25,8.29,8.18,8.18,-0.05,582
10,2020-01-16,1512717,12358251,8.19,8.22,8.14,8.22,0.04,524
11,2020-01-17,1627267,13409373,8.27,8.27,8.2,8.25,0.03,525
12,2020-01-20,1783334,14631488,8.26,8.27,8.16,8.16,-0.09,649
13,2020-01-30,5098366,38459218,7.91,7.91,7.35,7.36,-0.8,1503
14,2020-01-31,2472632,18309966,7.39,7.49,7.28,7.43,0.07,886
