,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2021-07-01,8088360,172504616,21.8,21.8,21.0,21.15,-0.4,3354
1,2021-07-02,8865430,190501716,21.2,21.7,21.1,21.55,0.4,2993
2,2021-07-05,44674371,999751021,21.8,22.9,21.55,22.9,1.35,17462
3,2021-07-06,21676214,481656381,22.75,22.75,22.0,22.15,-0.75,9629
4,2021-07-07,12908575,287877748,22.15,22.55,22.1,22.3,0.15,5110
5,2021-07-08,17889889,404567076,22.55,22.9,22.35,22.5,0.2,6612
6,2021-07-09,11772789,264523016,22.35,22.75,22.05,22.45,-0.05,4470
7,2021-07-12,96707876,2340535736,22.95,24.65,22.9,24.65,2.2,31740
8,2021-07-13,105596617,2685918528,25.3,26.6,23.8,24.5,-0.15,44139
9,2021-07-14,31997157,761343339,24.6,25.3,22.95,23.35,-1.15,14212
10,2021-07-15,23552222,562855798,23.5,24.4,23.1,24.2,0.85,9974
11,2021-07-16,12130645,287592101,23.3,24.1,23.3,24.0,-0.2,5583
12,2021-07-19,10008113,235342897,23.55,23.8,23.4,23.45,-0.55,4810
13,2021-07-20,12703254,290270351,23.0,23.25,22.5,22.7,-0.75,5878
14,2021-07-21,35522662,842010089,23.15,24.2,23.0,23.8,1.1,14681
15,2021-07-22,32924848,801715953,23.8,24.8,23.8,24.35,0.55,12900
16,2021-07-23,20733004,505312881,24.4,24.85,23.95,24.15,-0.2,8883
17,2021-07-26,23830662,590940115,24.35,25.1,24.3,24.95,0.8,9830
18,2021-07-27,20649634,513930561,25.2,25.5,24.4,24.55,-0.4,9413
19,2021-07-28,18548435,433104569,24.0,24.25,22.5,23.5,-1.05,8141
20,2021-07-29,32123908,790202355,24.3,25.0,24.0,24.65,1.15,12542
21,2021-07-30,146931295,3857703128,25.1,27.1,25.0,25.6,0.95,52577
