Unnamed: 0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,6570623,59880777,9.13,9.29,9.0,9.03,-0.1,2180
1,2020-01-03,7156525,62851800,9.06,9.12,8.61,8.65,-0.38,2377
2,2020-01-06,4500023,37902102,8.6,8.6,8.35,8.36,-0.29,1518
3,2020-01-07,4593882,37816215,8.38,8.38,8.16,8.22,-0.14,1465
4,2020-01-08,3922681,31696224,8.02,8.15,8.02,8.1,-0.12,1213
5,2020-01-09,2240303,18355005,8.15,8.23,8.13,8.18,0.08,736
6,2020-01-10,2333261,19144924,8.25,8.29,8.14,8.2,0.02,611
7,2020-01-13,2305624,18984051,8.22,8.27,8.21,8.22,0.02,715
8,2020-01-14,2199318,18125597,8.24,8.28,8.22,8.23,0.01,663
9,2020-01-15,2017695,16598956,8.25,8.29,8.18,8.18,-0.05,582
10,2020-01-16,1512717,12358251,8.19,8.22,8.14,8.22,0.04,524
11,2020-01-17,1627267,13409373,8.27,8.27,8.2,8.25,0.03,525
12,2020-01-20,1783334,14631488,8.26,8.27,8.16,8.16,-0.09,649
13,2020-01-30,5098366,38459218,7.91,7.91,7.35,7.36,-0.8,1503
14,2020-01-31,2472632,18309966,7.39,7.49,7.28,7.43,0.07,886
0,2020-02-03,2672135,18861200,7.25,7.25,6.92,7.11,-0.32,856
1,2020-02-04,1642233,11972810,7.18,7.38,7.14,7.3,0.19,550
2,2020-02-05,1613970,11871382,7.35,7.43,7.27,7.35,0.05,584
3,2020-02-06,7072084,54908938,7.39,7.95,7.39,7.82,0.47,2351
4,2020-02-07,2458806,18870867,7.78,7.8,7.62,7.64,-0.18,958
5,2020-02-10,2881919,22056548,7.43,7.75,7.43,7.67,0.03,762
6,2020-02-11,1297560,10024075,7.69,7.77,7.68,7.71,0.04,443
7,2020-02-12,4418151,35050596,7.77,8.05,7.77,7.91,0.2,1449
8,2020-02-13,2050415,16083011,7.95,8.0,7.75,7.77,-0.14,758
9,2020-02-14,1169346,9112482,7.78,7.86,7.74,7.77,0.0,437
10,2020-02-17,949655,7331026,7.76,7.8,7.67,7.67,-0.1,411
11,2020-02-18,919934,7174266,7.7,7.9,7.7,7.8,0.13,386
12,2020-02-19,690066,5412654,7.82,7.88,7.8,7.87,0.07,324
13,2020-02-20,1764335,14029664,7.9,8.05,7.88,7.92,0.05,608
14,2020-02-21,770648,6072190,8.0,8.0,7.8,7.87,-0.05,330
15,2020-02-24,977660,7561206,7.85,7.85,7.68,7.71,-0.16,444
16,2020-02-25,4852669,37937848,7.62,7.93,7.57,7.74,0.03,1016
17,2020-02-26,1891378,14643359,7.63,7.89,7.63,7.66,-0.08,766
18,2020-02-27,1717713,12948078,7.66,7.77,7.41,7.44,-0.22,567
0,2020-03-02,1653806,12201921,7.31,7.58,7.2,7.35,-0.09,571
1,2020-03-03,1209534,9084155,7.58,7.65,7.44,7.5,0.15,490
2,2020-03-04,3200596,24622069,7.43,7.85,7.42,7.8,0.3,1072
3,2020-03-05,11718747,94241187,8.06,8.16,7.89,7.97,0.17,3526
4,2020-03-06,2613784,20539977,7.86,7.98,7.77,7.98,0.01,782
5,2020-03-09,5210533,41237244,7.94,8.08,7.62,7.66,-0.32,1741
6,2020-03-10,2458966,18530492,7.45,7.71,7.43,7.71,0.05,872
7,2020-03-11,1514335,11528796,7.76,7.8,7.46,7.46,-0.25,666
8,2020-03-12,3802616,26743681,7.34,7.45,6.8,6.88,-0.58,1316
9,2020-03-13,4410489,27570692,6.37,6.45,6.2,6.45,-0.43,1355
10,2020-03-16,2387056,15086520,6.5,6.61,6.06,6.06,-0.39,896
11,2020-03-17,2570240,14985425,5.6,6.04,5.6,5.8,-0.26,906
12,2020-03-18,2970192,17125057,5.9,5.96,5.54,5.6,-0.2,1166
13,2020-03-19,10778333,63901984,5.4,6.16,5.35,6.16,0.56,3273
14,2020-03-20,719847,4873349,6.77,6.77,6.77,6.77,0.61,223
15,2020-03-23,9513597,70269032,7.44,7.44,7.04,7.44,0.67,2468
16,2020-03-24,15637008,125095586,7.6,8.17,7.5,8.16,0.72,5026
17,2020-03-25,14361979,118569132,8.58,8.58,7.9,8.03,-0.13,4344
18,2020-03-26,7313732,59842766,8.1,8.31,8.0,8.2,0.17,2293
19,2020-03-27,8791350,71332976,8.25,8.34,7.96,7.98,-0.22,2499
20,2020-03-30,5179790,41882689,7.98,8.2,7.98,8.08,0.1,1755
21,2020-03-31,6659320,54229901,8.17,8.28,8.0,8.02,-0.06,2046
0,2020-04-01,3908388,31681391,8.1,8.16,8.01,8.15,0.13,1151
1,2020-04-06,4967242,40723231,8.24,8.27,8.07,8.24,0.09,1680
2,2020-04-07,14734042,126601298,8.4,8.84,8.34,8.46,0.22,4001
3,2020-04-08,5171399,44240023,8.52,8.66,8.41,8.65,0.19,1736
4,2020-04-09,4860991,42318815,8.73,8.95,8.59,8.59,-0.06,1688
5,2020-04-10,5426205,45912240,8.59,8.62,8.3,8.5,-0.09,1726
6,2020-04-13,4344952,37618644,8.58,8.8,8.54,8.68,0.18,1628
7,2020-04-14,11750563,104961242,8.8,9.1,8.75,8.9,0.22,3786
8,2020-04-15,6908750,61445474,8.95,8.97,8.8,8.9,0.0,1918
9,2020-04-16,31553589,303007833,8.91,9.79,8.86,9.79,0.89,6954
10,2020-04-17,28418384,285620096,9.93,10.4,9.71,9.89,0.1,7498
11,2020-04-20,17801348,180683384,9.99,10.35,9.93,10.35,0.46,4942
12,2020-04-21,46907909,514778199,10.7,11.35,10.4,11.1,0.75,13881
13,2020-04-22,24989454,268995678,10.85,11.05,10.5,10.85,-0.25,7027
14,2020-04-23,34975503,391003466,10.95,11.85,10.7,11.7,0.85,9073
15,2020-04-24,34483462,409096326,11.65,12.2,11.4,11.7,0.0,10643
16,2020-04-27,19892259,236509333,11.8,12.05,11.75,11.8,0.1,5756
17,2020-04-28,23940253,286447071,12.0,12.35,11.7,11.7,-0.1,6294
18,2020-04-29,20933678,244185609,11.8,11.9,11.45,11.45,-0.25,5388
19,2020-04-30,21280701,248529501,11.7,11.8,11.5,11.55,0.1,4407
0,2020-05-04,11546474,133860647,11.6,11.8,11.15,11.75,0.2,3465
1,2020-05-05,18445329,216566188,12.0,12.0,11.55,11.55,-0.2,4097
2,2020-05-06,16036574,184937662,11.65,11.8,11.35,11.55,0.0,3615
3,2020-05-07,11550291,135117742,11.7,11.85,11.55,11.6,0.05,2673
4,2020-05-08,6317455,73224065,11.75,11.75,11.5,11.6,0.0,1865
5,2020-05-11,34492307,419860077,11.9,12.6,11.8,11.95,0.35,9534
6,2020-05-12,16310730,191931004,12.0,12.1,11.55,11.6,-0.35,4704
7,2020-05-13,10352035,121817349,11.55,11.95,11.5,11.8,0.2,2741
8,2020-05-14,8554565,99691409,11.8,11.9,11.5,11.55,-0.25,2477
9,2020-05-15,13243397,153962012,11.75,11.85,11.4,11.75,0.2,3387
10,2020-05-18,18650149,224623154,11.95,12.2,11.85,11.95,0.2,5402
11,2020-05-19,11244067,135278483,12.3,12.4,11.85,11.9,-0.05,3202
12,2020-05-20,17439988,210622837,11.9,12.25,11.8,12.0,0.1,4544
13,2020-05-21,56051575,716583648,12.3,13.2,12.1,13.2,1.2,14432
14,2020-05-22,75727779,1054844753,13.65,14.4,13.35,13.9,0.7,23553
15,2020-05-25,28140711,389142943,14.0,14.25,13.5,13.55,-0.35,9234
16,2020-05-26,19905501,265580946,13.65,13.7,13.15,13.3,-0.25,6493
17,2020-05-27,31542890,396611070,13.3,13.3,12.1,12.3,-1.0,10227
18,2020-05-28,16450743,203717065,12.45,12.75,12.2,12.2,-0.1,5184
19,2020-05-29,10684423,132363558,12.2,12.5,12.15,12.45,0.25,3500
0,2020-06-01,7184902,89141271,12.45,12.55,12.3,12.45,0.0,2658
1,2020-06-02,10034360,126099217,12.55,12.75,12.45,12.45,0.0,2920
2,2020-06-03,6985576,87184880,12.65,12.65,12.4,12.45,0.0,2231
3,2020-06-04,11646134,147297811,12.6,12.8,12.5,12.55,0.1,3268
4,2020-06-05,11001550,138668562,12.55,12.75,12.45,12.65,0.1,3213
5,2020-06-08,18718713,244442860,12.9,13.3,12.85,12.9,0.25,6221
6,2020-06-09,6471536,82646611,12.95,12.95,12.7,12.7,-0.2,2332
7,2020-06-10,22485026,266910680,12.25,12.25,11.75,11.75,-0.95,7550
8,2020-06-11,9528597,112714436,11.65,12.1,11.6,11.65,-0.1,3465
9,2020-06-12,14736702,172483795,11.25,12.1,11.1,12.05,0.4,4070
10,2020-06-15,9058541,109720096,12.4,12.4,11.75,11.85,-0.2,3386
11,2020-06-16,7916311,94725632,12.0,12.2,11.75,11.95,0.1,2325
12,2020-06-17,4327121,51907884,12.0,12.1,11.95,12.0,0.05,1590
13,2020-06-18,10175182,123690384,12.1,12.3,12.0,12.0,0.0,2255
14,2020-06-19,9373836,113777282,12.1,12.3,11.9,12.3,0.3,2710
15,2020-06-22,13441266,168801946,12.55,12.85,12.35,12.35,0.05,4327
16,2020-06-23,8208858,102145561,12.45,12.65,12.25,12.55,0.2,2591
17,2020-06-24,5980627,74478279,12.7,12.75,12.35,12.35,-0.2,2112
18,2020-06-29,5733207,69728347,12.3,12.35,12.1,12.15,-0.2,1649
19,2020-06-30,8396937,104255624,12.4,12.7,12.2,12.25,0.1,2915
0,2020-07-01,7595860,94585255,12.3,12.55,12.3,12.5,0.25,2008
1,2020-07-02,12364011,156813469,12.65,12.8,12.5,12.7,0.2,3676
2,2020-07-03,16843527,219570478,13.2,13.3,12.75,13.0,0.3,4927
3,2020-07-06,18756522,249508496,13.1,13.55,13.1,13.35,0.35,5005
4,2020-07-07,27343450,362216689,13.5,13.55,12.85,12.95,-0.4,5532
5,2020-07-08,8270137,108209708,13.05,13.25,12.9,13.05,0.1,2272
6,2020-07-09,8810014,115390863,13.3,13.3,12.9,12.9,-0.15,2356
7,2020-07-10,11884945,146653762,12.8,12.8,12.05,12.2,-0.7,4097
8,2020-07-13,6086489,74413599,12.35,12.4,12.1,12.15,-0.05,1990
9,2020-07-14,11306297,137845524,12.15,12.35,12.0,12.0,-0.15,2521
10,2020-07-15,8300304,98239240,12.15,12.2,11.6,11.7,-0.3,3161
11,2020-07-16,6974548,83331333,11.75,12.1,11.75,12.05,0.35,1996
12,2020-07-17,8688865,101126621,12.0,12.05,11.35,11.65,-0.4,2782
13,2020-07-20,4955171,56440038,11.7,11.75,11.25,11.4,-0.25,1625
14,2020-07-21,9613790,112751313,11.55,11.9,11.5,11.85,0.45,2728
15,2020-07-22,4103629,48851405,11.85,12.0,11.85,11.85,0.0,1429
16,2020-07-23,38100627,476368385,12.1,12.9,11.95,12.45,0.6,9687
17,2020-07-24,13403320,163518447,12.4,12.55,11.85,11.9,-0.55,4148
18,2020-07-27,13524606,165344872,12.0,12.45,11.95,12.1,0.2,4076
19,2020-07-28,95276175,1245394304,12.6,13.3,12.2,12.3,0.2,15593
20,2020-07-29,12521104,152425606,12.2,12.5,11.95,12.25,-0.05,4040
21,2020-07-30,9098001,112432995,12.3,12.55,12.1,12.45,0.2,2786
22,2020-07-31,6405387,79894436,12.45,12.65,12.3,12.45,0.0,1941
0,2020-08-03,17173603,219799692,12.5,13.05,12.5,12.7,0.25,4854
1,2020-08-04,11229830,144275085,12.95,13.15,12.6,12.7,0.0,3305
2,2020-08-05,10870211,139073493,12.85,13.0,12.6,12.65,-0.05,2718
3,2020-08-06,15397755,198138306,12.85,13.1,12.65,12.8,0.15,3805
4,2020-08-07,13294227,171737562,13.0,13.1,12.7,12.7,-0.1,3780
5,2020-08-10,6390984,81778032,12.85,12.95,12.7,12.7,0.0,1797
6,2020-08-11,17733160,230646081,13.05,13.3,12.7,12.85,0.15,4456
7,2020-08-12,6246187,78813779,12.9,12.9,12.5,12.55,-0.3,2022
8,2020-08-13,4511836,57025181,12.75,12.8,12.55,12.55,0.0,1420
9,2020-08-14,7686366,97866349,12.45,12.95,12.4,12.85,0.3,2013
10,2020-08-17,24730305,330265554,12.85,13.75,12.8,13.5,0.65,6783
11,2020-08-18,24133447,332731268,13.85,14.15,13.5,13.6,0.1,7179
12,2020-08-19,11267560,151443192,13.6,13.65,13.05,13.15,-0.45,3196
13,2020-08-20,31476934,383642708,13.1,13.15,11.85,11.95,-1.2,6764
14,2020-08-21,9747351,119853574,12.2,12.5,12.1,12.35,0.4,2888
15,2020-08-24,7412460,91331953,12.35,12.5,12.1,12.3,-0.05,1781
16,2020-08-25,5765905,71412161,12.4,12.5,12.3,12.4,0.1,1571
17,2020-08-26,4683070,58467958,12.5,12.6,12.3,12.45,0.05,1351
18,2020-08-27,5053704,63257801,12.6,12.65,12.4,12.45,0.0,1183
19,2020-08-28,5063415,62760164,12.5,12.5,12.3,12.35,-0.1,1292
20,2020-08-31,4365022,54327965,12.5,12.55,12.35,12.4,0.05,1083
0,2020-09-01,10414373,130092663,12.45,12.65,12.35,12.4,0.0,2087
1,2020-09-02,3688770,45590251,12.5,12.5,12.3,12.35,-0.05,1193
2,2020-09-03,9926679,125120041,12.45,12.8,12.35,12.7,0.35,2506
3,2020-09-04,17712935,215113490,12.05,12.3,11.95,12.3,-0.4,4148
4,2020-09-07,19925857,250186867,12.35,12.8,12.35,12.4,0.1,4750
5,2020-09-08,4650569,57653567,12.45,12.55,12.3,12.4,0.0,1367
6,2020-09-09,7335610,91771365,12.35,12.7,12.25,12.6,0.2,1856
7,2020-09-10,8272269,104826470,12.7,12.8,12.6,12.6,0.0,1996
8,2020-09-11,12312745,157013646,12.7,12.9,12.6,12.7,0.1,2968
9,2020-09-14,61523054,834869341,12.85,13.95,12.8,13.95,1.25,14066
10,2020-09-15,45512694,631972611,14.0,14.2,13.6,13.6,-0.35,12507
11,2020-09-16,35304673,487439666,13.8,14.25,13.35,13.4,-0.2,10088
12,2020-09-17,10681699,142085015,13.45,13.5,13.1,13.35,-0.05,3238
13,2020-09-18,10331405,138117503,13.5,13.6,13.2,13.3,-0.05,2894
14,2020-09-21,14800613,195126530,13.4,13.55,13.0,13.05,-0.25,3377
15,2020-09-22,19769031,255685803,13.05,13.2,12.7,12.95,-0.1,4319
16,2020-09-23,19587030,220705572,11.2,11.45,11.15,11.2,0.0,4351
17,2020-09-24,7358000,82033588,11.25,11.35,11.0,11.05,-0.15,2369
18,2020-09-25,15292919,161210202,11.15,11.2,10.0,10.3,-0.75,4257
19,2020-09-28,23532434,260188239,10.6,11.3,10.15,11.3,1.0,5030
20,2020-09-29,42268756,496744768,11.45,12.2,11.35,11.7,0.4,10854
21,2020-09-30,14049353,162356568,11.55,11.75,11.25,11.7,0.0,3859
0,2020-10-05,13733915,160239056,11.75,11.9,11.45,11.6,-0.1,3083
1,2020-10-06,7965737,92338290,11.7,11.75,11.45,11.55,-0.05,2090
2,2020-10-07,15179785,177685784,11.5,11.8,11.45,11.65,0.1,3236
3,2020-10-08,75145010,936863086,11.75,12.8,11.65,12.8,1.15,14866
4,2020-10-12,70185753,907257421,13.0,13.25,12.6,12.85,0.05,13464
5,2020-10-13,12473817,155498007,12.65,12.7,12.35,12.45,-0.4,3930
6,2020-10-14,22180592,281746846,12.45,12.95,12.3,12.6,0.15,5258
7,2020-10-15,13899593,174223122,12.5,12.75,12.35,12.45,-0.15,3421
8,2020-10-16,7500768,91981961,12.4,12.55,12.1,12.2,-0.25,2579
9,2020-10-19,5196632,64045334,12.35,12.45,12.2,12.25,0.05,1722
10,2020-10-20,3369477,41095010,12.15,12.35,12.15,12.15,-0.1,1311
11,2020-10-21,22044659,275732890,12.35,12.8,12.25,12.45,0.3,5876
12,2020-10-22,14238397,178268352,12.35,12.8,12.25,12.8,0.35,3711
13,2020-10-23,15725505,198052272,12.8,12.9,12.4,12.4,-0.4,4025
14,2020-10-26,13327601,165130861,12.5,12.6,12.2,12.3,-0.1,3245
15,2020-10-27,7773600,94701980,12.15,12.35,12.05,12.3,0.0,2120
16,2020-10-28,11550343,139284822,12.35,12.4,11.8,11.85,-0.45,4478
17,2020-10-29,12348496,145130314,11.5,11.95,11.4,11.7,-0.15,3854
18,2020-10-30,12283669,139725357,11.7,11.7,11.1,11.2,-0.5,4301
0,2020-11-02,6379714,70790001,11.3,11.35,10.95,11.1,-0.1,2154
1,2020-11-03,10054326,114070241,11.3,11.45,11.15,11.3,0.2,2398
2,2020-11-04,9102643,104230976,11.35,11.65,11.2,11.45,0.15,3155
3,2020-11-05,4983484,56439357,11.45,11.55,11.25,11.3,-0.15,1574
4,2020-11-06,5248240,58893436,11.4,11.4,11.1,11.1,-0.2,1717
5,2020-11-09,6949202,79203034,11.3,11.55,11.25,11.4,0.3,2211
6,2020-11-10,5286690,59481829,11.45,11.5,11.1,11.2,-0.2,1803
7,2020-11-11,4522143,50614225,11.25,11.3,11.1,11.15,-0.05,1798
8,2020-11-12,3845442,43058542,11.3,11.35,11.05,11.15,0.0,1468
9,2020-11-13,3943812,43832571,11.15,11.25,11.0,11.2,0.05,1435
10,2020-11-16,4582561,51292154,11.25,11.35,11.1,11.1,-0.1,1495
11,2020-11-17,4731104,52980022,11.25,11.3,11.1,11.15,0.05,1471
12,2020-11-18,8021257,90771102,11.15,11.4,11.15,11.3,0.15,1994
13,2020-11-19,3353193,37915287,11.3,11.4,11.2,11.35,0.05,1168
14,2020-11-20,16570468,192795868,11.35,11.8,11.35,11.75,0.4,4981
15,2020-11-23,71410380,911690317,12.15,12.9,12.1,12.9,1.15,14133
16,2020-11-24,135724996,1825872632,13.3,13.95,13.1,13.25,0.35,31283
17,2020-11-25,39510333,528548476,13.35,13.55,13.1,13.45,0.2,9933
18,2020-11-26,23320016,311362513,13.35,13.6,13.0,13.55,0.1,6569
19,2020-11-27,28247378,386013262,13.55,13.85,13.25,13.85,0.3,6898
20,2020-11-30,59059676,858269679,14.15,15.0,14.05,14.6,0.75,14975
0,2020-12-01,35242898,523530773,14.6,15.15,14.6,14.95,0.35,9694
1,2020-12-02,53149545,831527340,15.15,16.35,15.05,16.0,1.05,14970
2,2020-12-03,89398253,1507559569,16.25,17.55,16.1,17.1,1.1,24764
3,2020-12-04,73371826,1333415526,17.6,18.8,17.45,18.8,1.7,21394
4,2020-12-07,81702601,1664960710,20.4,20.65,19.6,20.65,1.85,23037
5,2020-12-08,78475444,1594022482,19.35,21.3,19.35,20.8,0.15,26511
6,2020-12-09,27912401,546569871,20.15,20.15,19.4,19.5,-1.3,10806
7,2020-12-10,42250983,756801422,19.05,19.05,17.55,17.6,-1.9,13921
8,2020-12-11,20125521,346314545,17.65,18.0,16.5,17.35,-0.25,7294
9,2020-12-14,11394923,203538333,17.7,18.1,17.5,17.9,0.55,4637
10,2020-12-15,8277761,144764793,17.9,18.0,17.2,17.2,-0.7,3291
11,2020-12-16,11560647,208221943,17.7,18.2,17.7,18.1,0.9,4550
12,2020-12-17,9508327,172853308,18.15,18.4,17.85,18.3,0.2,3960
13,2020-12-18,9361749,169911445,18.7,18.7,17.8,17.8,-0.5,3671
14,2020-12-21,7918213,140669331,17.8,18.0,17.35,17.95,0.15,3278
15,2020-12-22,9024191,160403298,17.95,18.15,17.1,17.1,-0.85,3623
16,2020-12-23,28064195,498597434,17.5,18.3,17.2,17.55,0.45,8753
17,2020-12-24,15883335,278424638,18.0,18.0,17.2,17.25,-0.3,5542
18,2020-12-25,8176230,142196366,17.4,17.6,17.2,17.3,0.05,2890
19,2020-12-28,26075611,467754084,17.3,18.35,17.25,18.15,0.85,8876
