,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,110/08/02,24948096,14593329483,583.00,590.00,580.00,590.00,10.0,19791
1,110/08/03,28104984,16655446605,594.00,594.00,590.00,594.00,4.0,20221
2,110/08/04,23714971,14132827829,598.00,598.00,594.00,596.00,2.0,18228
3,110/08/05,15673765,9343887536,598.00,598.00,593.00,596.00,0.0,15495
4,110/08/06,13994018,8275142201,596.00,596.00,588.00,591.00,-5.0,13742
5,110/08/09,17611955,10366798182,590.00,595.00,583.00,595.00,4.0,15068
6,110/08/10,17620825,10435618093,596.00,596.00,589.00,591.00,-4.0,13983
7,110/08/11,20311399,11943131619,590.00,590.00,585.00,590.00,-1.0,18548
8,110/08/12,16031265,9383967628,586.00,588.00,584.00,586.00,-4.0,15202
9,110/08/13,25440973,14769155709,585.00,585.00,579.00,581.00,-5.0,36198
10,110/08/16,19949389,11612486234,582.00,586.00,578.00,584.00,3.0,17055
11,110/08/17,31845499,18475506150,580.00,582.00,578.00,580.00,-4.0,19184
12,110/08/18,47063629,26855353529,568.00,575.00,566.00,574.00,-6.0,86118
13,110/08/19,42133375,23766228074,573.00,573.00,559.00,559.00,-15.0,119048
14,110/08/20,47741449,26565551162,560.00,563.00,551.00,552.00,-7.0,72684
15,110/08/23,34775337,19688362857,560.00,572.00,559.00,566.00,14.0,30421
16,110/08/24,27397309,15697269609,574.00,575.00,571.00,572.00,6.0,21032
17,110/08/25,28867651,16769849402,579.00,585.00,574.00,585.00,13.0,29096
