,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,110/08/02,654101689,87163069053,133.00,144.50,123.50,141.50,9.5,281788
1,110/08/03,572352123,81384687489,140.50,146.50,137.50,141.00,-0.5,241321
2,110/08/04,301280543,42974650502,141.00,145.00,140.50,143.50,2.5,121158
3,110/08/05,275125528,38602640303,143.50,144.50,137.00,138.50,-5.0,123296
4,110/08/06,483808973,69981671219,138.00,149.00,137.00,142.00,3.5,216663
5,110/08/09,336946441,48718820491,143.00,147.50,142.00,142.50,0.5,146560
6,110/08/10,411742074,59071157421,147.00,148.50,138.00,139.50,-3.0,170024
7,110/08/11,507389998,67973974847,140.00,141.50,126.50,132.00,-7.5,212961
8,110/08/12,308309639,41306359750,134.50,137.00,130.50,137.00,5.0,132067
9,110/08/13,213785296,29158269838,137.50,139.50,130.50,130.50,-6.5,102785
10,110/08/16,165834653,21950143678,132.50,135.00,129.00,130.50,0.0,77103
11,110/08/17,144221803,18832249491,133.50,135.00,126.00,126.50,-4.0,72845
12,110/08/18,273901893,35824651128,124.00,136.00,121.50,136.00,0.0,117954
13,110/08/19,321246335,42829774176,136.00,138.50,127.50,128.00,-8.0,152357
14,110/08/20,225267651,29638774077,131.50,134.00,128.50,132.50,4.5,95488
15,110/08/23,330334696,47119806182,138.00,145.50,137.00,144.00,11.5,140029
16,110/08/24,359468075,51378792812,147.00,148.00,139.00,140.00,-4.0,158856
17,110/08/25,201656434,28653093346,141.00,145.50,138.50,144.00,4.0,93272
