日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
2021-07-01,5621060,5387345203,971.0,976.0,948.0,955.0,-7.0,7519
2021-07-02,4790985,4592233661,963.0,964.0,953.0,957.0,2.0,5146
2021-07-05,7532324,7253624843,960.0,975.0,957.0,957.0,0.0,9256
2021-07-06,7187618,6676788826,937.0,940.0,920.0,922.0,0.0,14620
2021-07-07,5379862,4952152805,926.0,928.0,917.0,917.0,-5.0,10297
2021-07-08,6530700,6014637645,920.0,929.0,914.0,920.0,3.0,6436
2021-07-09,5186052,4771071467,915.0,929.0,911.0,919.0,-1.0,6165
2021-07-12,5706017,5346107568,940.0,941.0,930.0,935.0,16.0,6153
2021-07-13,7219531,6738427622,940.0,944.0,926.0,926.0,-9.0,8066
2021-07-14,3410706,3173452902,929.0,938.0,925.0,930.0,4.0,4476
2021-07-15,7490469,7081346164,935.0,952.0,930.0,951.0,21.0,8262
2021-07-16,6055983,5759854226,948.0,960.0,941.0,957.0,6.0,6788
2021-07-19,7197515,6661594919,941.0,945.0,915.0,919.0,-38.0,13264
2021-07-20,3177142,2924310492,917.0,928.0,915.0,920.0,1.0,5347
2021-07-21,5054585,4617028966,926.0,931.0,906.0,912.0,-8.0,8650
2021-07-22,4257367,3924562982,915.0,931.0,915.0,919.0,7.0,5162
2021-07-23,4544769,4224700764,932.0,934.0,924.0,933.0,14.0,4790
2021-07-26,5040016,4673380933,940.0,940.0,920.0,923.0,-10.0,4825
2021-07-27,8669067,8141558032,928.0,948.0,924.0,938.0,15.0,8987
2021-07-28,17046717,15308710868,931.0,932.0,887.0,890.0,-48.0,28720
2021-07-29,10421629,9571909485,915.0,935.0,903.0,933.0,43.0,10860
2021-07-30,6139039,5629687066,935.0,937.0,907.0,910.0,-23.0,8663
