日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
2020-01-02,6237434,2758621262,445.0,446.0,440.5,441.5,-2.0,4171
2020-01-03,12375266,5364928476,445.0,445.5,423.0,434.5,-7.0,9265
2020-01-06,8520516,3632830840,428.0,431.5,424.0,424.0,-10.5,6039
2020-01-07,11707155,4982703572,428.0,431.0,418.0,426.0,2.0,7952
2020-01-08,9695448,4178143323,426.0,436.5,424.0,430.5,4.5,6606
2020-01-09,7061194,3077279278,435.0,439.0,432.5,437.0,6.5,4873
2020-01-10,7882248,3401903337,439.5,441.0,426.0,432.0,-5.0,5974
2020-01-13,10239998,4358608124,432.0,435.0,422.0,422.0,-10.0,8127
2020-01-14,19437055,8113096100,422.5,424.5,412.5,416.0,-6.0,12927
2020-01-15,26086092,10741727720,409.0,419.0,406.5,416.0,0.0,17129
2020-01-16,13075722,5495435494,419.0,423.5,415.0,421.0,5.0,8603
2020-01-17,8818316,3724242970,428.0,428.0,418.5,420.5,-0.5,5956
2020-01-20,6172773,2590427739,421.0,422.0,417.0,419.0,-1.5,4178
2020-01-30,22330256,8733286560,400.0,400.5,382.5,383.5,-35.5,14587
2020-01-31,10439123,4053010283,385.0,393.0,382.0,388.0,4.5,6604
