日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
2020-07-01,7704668,4509588420,590.0,594.0,575.0,577.0,-2.0,6026
2020-07-02,6031098,3479994448,577.0,582.0,573.0,574.0,-3.0,4713
2020-07-03,8709502,5076814670,575.0,587.0,575.0,585.0,11.0,6503
2020-07-06,7257983,4246965987,587.0,589.0,580.0,589.0,0.0,5745
2020-07-07,19739242,12030718684,598.0,632.0,595.0,618.0,29.0,13788
2020-07-08,23384399,15334797441,629.0,674.0,625.0,661.0,43.0,17451
2020-07-09,17228954,11275283916,661.0,663.0,640.0,651.0,-10.0,14157
2020-07-10,17015547,10729476093,641.0,647.0,616.0,616.0,-35.0,13330
2020-07-13,10446840,6560638360,626.0,639.0,618.0,629.0,13.0,8478
2020-07-14,9446920,5812727670,627.0,628.0,610.0,611.0,-18.0,7700
2020-07-15,14729162,8973203197,612.0,618.0,598.0,609.0,-2.0,11055
2020-07-16,7417218,4474246018,601.0,612.0,599.0,599.0,-10.0,6190
2020-07-17,8994459,5420967613,598.0,608.0,596.0,607.0,8.0,7114
2020-07-20,9008151,5388054902,609.0,611.0,590.0,601.0,-6.0,7345
2020-07-21,15777808,9951824696,612.0,643.0,612.0,637.0,36.0,12392
2020-07-22,17852109,11827985376,659.0,670.0,651.0,664.0,27.0,13618
2020-07-23,17793987,11920667659,658.0,687.0,653.0,677.0,13.0,13937
2020-07-24,24419901,16795888977,677.0,703.0,670.0,675.0,-2.0,19725
2020-07-27,21431219,15305966243,695.0,737.0,691.0,728.0,53.0,17615
2020-07-28,36378539,26105851132,741.0,763.0,680.0,680.0,-48.0,28746
2020-07-29,14628939,9963495157,683.0,694.0,667.0,682.0,2.0,11816
2020-07-30,13796896,9398689156,686.0,694.0,670.0,683.0,1.0,10458
2020-07-31,15072563,10404919783,678.0,707.0,670.0,701.0,18.0,11281
