,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,3332480,116182076,34.55,35.1,34.55,34.9,0.45,1676
1,2020-01-03,7761279,263554721,34.8,35.1,33.1,33.5,-1.4,3925
2,2020-01-06,4078654,134087696,32.9,33.5,32.65,32.9,-0.6,2103
3,2020-01-07,4740255,152430360,33.1,33.35,31.65,31.75,-1.15,2385
4,2020-01-08,3531914,110229896,31.1,31.7,30.85,31.0,-0.75,1736
5,2020-01-09,4981941,159821240,31.5,32.6,31.35,32.25,1.25,2692
6,2020-01-10,4740871,150605474,32.4,32.55,31.2,32.0,-0.25,2432
7,2020-01-13,5787889,190771085,32.0,33.45,32.0,33.05,1.05,2988
8,2020-01-14,4363546,144878274,33.15,33.75,32.7,33.4,0.35,2024
9,2020-01-15,2424133,79766958,32.9,33.2,32.8,32.8,-0.6,1193
10,2020-01-16,12838255,436648724,33.0,34.85,32.9,34.05,1.25,6128
11,2020-01-17,10774710,368316866,34.1,34.55,33.7,34.45,0.4,4356
12,2020-01-20,11851024,412412273,34.05,35.25,33.65,35.0,0.55,5192
13,2020-01-30,7921548,251259306,31.5,32.5,31.5,31.5,-3.5,3089
14,2020-01-31,6267350,194399273,31.6,32.2,30.0,30.9,-0.6,2720
