,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2021-08-02,11852598,1175894142,100.0,101.5,97.4,97.8,-0.7,8302
1,2021-08-03,13578112,1348642018,98.4,101.5,97.2,98.7,0.9,8944
2,2021-08-04,10543981,1027366818,99.3,99.6,96.0,96.1,-2.6,7490
3,2021-08-05,25453243,2312927895,89.5,92.4,88.5,91.0,-5.1,17412
4,2021-08-06,11510848,1045572052,91.0,92.4,89.6,90.5,-0.5,8067
5,2021-08-09,14735853,1292519816,90.3,90.5,86.0,86.0,-4.5,10133
6,2021-08-10,10496457,910723847,86.6,88.5,85.0,86.6,0.6,7184
7,2021-08-11,12742059,1060719427,86.0,86.9,80.5,81.5,-5.1,8637
8,2021-08-12,16731420,1357344304,82.1,84.4,79.1,80.5,-1.0,10032
9,2021-08-13,15534197,1200786294,80.3,80.3,75.3,75.3,-5.2,9436
10,2021-08-16,14390072,1085241188,75.0,77.9,73.4,75.1,-0.2,8798
11,2021-08-17,10648798,780820614,75.5,76.5,70.3,70.7,-4.4,6686
12,2021-08-18,15663144,1148353627,70.2,76.6,69.3,76.2,5.5,9509
13,2021-08-19,10691802,801021380,75.0,77.4,73.0,73.0,-3.2,7078
14,2021-08-20,10716116,800946683,73.2,76.9,72.5,74.7,1.7,6787
15,2021-08-23,18519794,1489881947,76.9,82.1,76.3,82.1,7.4,10238
16,2021-08-24,20561810,1719897931,84.2,85.0,82.1,83.5,1.4,13022
17,2021-08-25,29576813,2577556762,82.8,89.8,82.8,87.1,3.6,19240
18,2021-08-26,26297970,2342105447,87.3,90.6,87.1,89.0,1.9,16202
19,2021-08-27,45499692,4148099736,89.7,93.9,88.0,88.1,-0.9,29028
20,2021-08-30,21305272,1936752445,91.0,92.2,89.5,90.7,2.6,13494
21,2021-08-31,13745906,1217448676,90.0,90.6,87.3,89.0,-1.7,9069
