,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2021-06-01,1880317,136874419,71.7,73.5,71.6,73.3,2.4,1393
1,2021-06-02,1615643,116940604,73.3,73.8,71.5,72.2,-1.1,1242
2,2021-06-03,846591,61686785,73.4,73.4,72.4,72.8,0.6,703
3,2021-06-04,860966,62769747,72.8,73.4,72.3,73.3,0.5,603
4,2021-06-07,1226909,88792412,74.6,74.6,70.7,72.2,-1.1,968
5,2021-06-08,571235,41042251,72.4,72.4,71.4,71.9,-0.3,433
6,2021-06-09,1256598,89604110,72.0,72.2,70.7,71.7,-0.2,506
7,2021-06-10,901963,65287477,72.2,73.5,71.7,72.5,0.8,684
8,2021-06-11,751053,54433182,72.5,73.1,71.9,72.3,-0.2,610
9,2021-06-15,1377560,101156677,72.6,74.0,72.4,73.7,1.4,1015
10,2021-06-16,1023063,74491613,73.8,73.8,72.3,72.6,-1.1,792
11,2021-06-17,551720,39919176,72.2,73.0,71.9,72.8,0.2,459
12,2021-06-18,2543411,185952642,73.0,74.7,72.0,72.0,-0.8,1222
13,2021-06-21,1300180,92401335,71.7,71.8,70.7,70.9,-1.1,961
14,2021-06-22,914928,64943754,71.8,71.8,70.8,71.2,0.3,627
15,2021-06-23,1038885,74453489,71.4,72.4,70.6,72.2,1.0,834
16,2021-06-24,1071390,78493842,72.2,74.0,72.2,73.6,1.4,824
17,2021-06-25,861149,63493783,74.1,74.2,73.1,73.2,-0.4,700
18,2021-06-28,4947258,377692355,73.8,77.9,73.8,77.9,4.7,3634
19,2021-06-29,7751071,582949993,78.5,79.0,73.3,73.6,-4.3,5041
20,2021-06-30,1407842,103918858,74.1,74.3,73.5,73.9,0.3,1086
