,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-04-01,465951,31141706,66.6,67.1,66.6,66.7,0.2,359
1,2020-04-06,684338,45923013,66.8,67.4,66.7,67.3,0.6,574
2,2020-04-07,1115381,76283089,68.0,69.2,67.7,68.7,1.4,851
3,2020-04-08,1233239,86005874,69.0,70.3,68.5,69.5,0.8,933
4,2020-04-09,1596047,110161936,70.1,70.2,68.2,68.5,-1.0,1207
5,2020-04-10,442688,30343372,68.5,68.9,68.0,68.8,0.3,345
6,2020-04-13,462678,31748776,68.8,69.0,68.1,68.5,-0.3,355
7,2020-04-14,1028756,71106765,68.5,69.5,68.5,69.5,1.0,745
8,2020-04-15,1548223,107427116,70.0,70.0,69.0,69.3,-0.2,1110
9,2020-04-16,1047560,72021752,69.2,69.2,68.6,68.7,-0.6,803
10,2020-04-17,2163412,150778540,69.1,70.3,69.0,69.9,1.2,1413
11,2020-04-20,2985446,213006794,70.8,72.8,70.7,70.8,0.9,1969
12,2020-04-21,2161430,150390470,71.2,71.4,68.5,68.6,-2.2,1608
13,2020-04-22,956265,65139585,68.0,68.7,67.3,68.5,-0.1,731
14,2020-04-23,846450,58328874,69.0,69.5,68.5,68.6,0.1,587
15,2020-04-24,756953,52621626,69.1,69.9,68.7,69.4,0.8,629
16,2020-04-27,943894,65998880,70.0,70.4,69.5,69.8,0.4,683
17,2020-04-28,732520,50950500,69.8,70.0,69.2,69.8,0.0,552
18,2020-04-29,1278250,89604225,70.1,70.5,69.7,70.1,0.3,970
19,2020-04-30,1354871,95303790,70.2,70.6,70.0,70.6,0.5,871
