,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-04-01,1032000,9040290,8.63,8.85,8.6,8.84,0.23,411
1,2020-04-06,1244332,11212404,8.95,9.18,8.86,9.15,0.31,626
2,2020-04-07,1285305,11980366,9.31,9.45,9.22,9.26,0.11,574
3,2020-04-08,1566684,14816170,9.36,9.61,9.27,9.6,0.34,647
4,2020-04-09,1231755,11834634,9.7,9.75,9.43,9.61,0.01,626
5,2020-04-10,691992,6605945,9.61,9.61,9.5,9.61,0.0,275
6,2020-04-13,1024688,9722110,9.56,9.56,9.43,9.44,-0.17,459
7,2020-04-14,5752939,57896624,9.45,10.3,9.45,10.15,0.71,2146
8,2020-04-15,2276959,23026819,10.15,10.25,10.0,10.15,0.0,1065
9,2020-04-16,1758483,17811681,10.0,10.35,9.95,10.1,-0.05,624
10,2020-04-17,2421313,24685688,10.25,10.4,10.0,10.05,-0.05,752
11,2020-04-20,869625,8712079,10.05,10.1,9.97,10.05,0.0,307
12,2020-04-21,1551667,15283094,10.05,10.1,9.6,9.65,-0.4,655
13,2020-04-22,900803,8843740,9.65,9.98,9.51,9.95,0.3,389
14,2020-04-23,2231123,22734949,10.0,10.35,10.0,10.2,0.25,693
15,2020-04-24,3392752,34906266,10.2,10.45,10.05,10.1,-0.1,856
16,2020-04-27,1413922,14463942,10.25,10.3,10.15,10.25,0.15,462
17,2020-04-28,5867043,60953507,10.3,10.5,10.2,10.4,0.15,902
18,2020-04-29,2047427,21360222,10.45,10.5,10.35,10.5,0.1,722
19,2020-04-30,2282271,24182763,10.6,10.7,10.5,10.6,0.1,723
