,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-10-05,3710331,113386915,30.45,30.7,30.4,30.6,0.1,2242
1,2020-10-06,7135629,218057291,30.75,30.75,30.35,30.45,-0.15,3342
2,2020-10-07,9610843,290380652,30.35,30.45,30.05,30.1,-0.35,4393
3,2020-10-08,14833411,453207828,30.25,30.8,30.15,30.75,0.65,5943
4,2020-10-12,7165280,220087348,30.95,30.95,30.5,30.75,0.0,3041
5,2020-10-13,6896670,208677595,30.7,30.7,30.1,30.25,-0.5,3326
6,2020-10-14,4554324,138602675,30.3,30.65,30.3,30.45,0.2,2013
7,2020-10-15,5727173,174679326,30.45,30.7,30.25,30.55,0.1,2323
8,2020-10-16,4779401,145922105,30.65,30.75,30.3,30.3,-0.25,2198
9,2020-10-19,4718791,143831523,30.4,30.6,30.4,30.5,0.2,1707
10,2020-10-20,14461117,448195627,30.7,31.3,30.65,30.95,0.45,6463
11,2020-10-21,6971283,215870473,31.2,31.25,30.8,30.9,-0.05,3364
12,2020-10-22,9766627,302497474,30.9,31.15,30.7,31.15,0.25,2467
13,2020-10-23,5157768,160164925,31.2,31.2,30.9,31.1,-0.05,2358
14,2020-10-26,7081061,218079460,31.2,31.2,30.7,30.7,-0.4,3288
15,2020-10-27,8125042,246542482,30.3,30.45,30.2,30.35,-0.35,3654
16,2020-10-28,6410982,194968752,30.35,30.6,30.3,30.4,0.05,2607
17,2020-10-29,6955374,209507328,30.0,30.35,29.9,30.25,-0.15,2864
18,2020-10-30,7249252,218134716,30.3,30.4,29.95,29.95,-0.3,3023
