,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-02-03,17652334,555588173,31.8,32.65,30.0,32.3,-0.35,8001
1,2020-02-04,8066332,263783384,31.8,33.1,31.8,32.9,0.6,3475
2,2020-02-05,7802807,258247181,33.05,33.45,32.6,32.75,-0.15,3799
3,2020-02-06,16540200,568727600,33.55,35.2,33.4,35.1,2.35,6767
4,2020-02-07,12445765,422330169,34.3,34.4,33.5,33.8,-1.3,6056
5,2020-02-10,5232578,176980657,33.0,34.3,32.8,33.95,0.15,2981
6,2020-02-11,14734873,515776080,33.95,35.6,33.85,35.6,1.65,6226
7,2020-02-12,12457672,445453042,35.6,36.1,35.2,36.0,0.4,4855
8,2020-02-13,9061121,326847714,36.05,36.4,35.6,36.0,0.0,3756
9,2020-02-14,5365941,193332914,36.0,36.25,35.9,35.95,-0.05,2089
10,2020-02-17,7301618,258489995,35.8,35.85,35.05,35.4,-0.55,3685
11,2020-02-18,8327779,290262805,34.95,35.4,34.7,34.7,-0.7,4118
12,2020-02-19,4666168,161554158,34.8,34.85,34.3,34.7,0.0,2369
13,2020-02-20,2914816,101629373,34.95,35.1,34.65,34.85,0.15,1562
14,2020-02-21,3196647,110601560,34.7,34.85,34.35,34.4,-0.45,1583
15,2020-02-24,4981962,171753170,34.05,35.1,33.9,35.1,0.7,2147
16,2020-02-25,5912782,203933543,34.5,34.9,34.1,34.35,-0.75,2740
17,2020-02-26,6434278,218137567,33.95,34.05,33.8,33.8,-0.55,3381
18,2020-02-27,7269169,241425686,34.0,34.05,32.75,32.75,-1.05,3374
