,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2021-02-01,16479166,605451803,36.7,37.3,36.1,37.15,0.15,8348
1,2021-02-02,12744618,480203769,37.4,37.95,37.25,37.8,0.65,5733
2,2021-02-03,13283263,495189446,37.8,37.85,37.0,37.1,-0.7,6218
3,2021-02-04,10555224,389915097,37.0,37.4,36.6,36.75,-0.35,5167
4,2021-02-05,35417789,1350253305,37.25,38.65,36.95,38.5,1.75,16534
5,2021-02-17,42366453,1699061711,40.9,40.95,39.45,40.0,1.5,20595
6,2021-02-18,20584664,827942686,40.45,40.6,39.85,40.2,0.2,9828
7,2021-02-19,20996610,838495778,40.0,40.4,39.55,40.35,0.15,9244
8,2021-02-22,23491153,941708638,40.35,40.55,39.9,40.1,-0.25,10314
9,2021-02-23,24116694,945633437,39.55,39.55,38.8,39.25,-0.85,12938
10,2021-02-24,20867231,821782363,39.15,39.95,39.0,39.0,-0.25,8805
11,2021-02-25,46688857,1877351293,39.75,40.9,39.3,40.9,1.9,18682
12,2021-02-26,32286545,1289096164,39.85,40.3,39.75,39.8,-1.1,13658
