,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-03-02,2808074,35195565,12.05,12.85,12.05,12.75,-0.05,1039
1,2020-03-03,1610285,20871449,13.0,13.1,12.85,12.9,0.15,635
2,2020-03-04,1974371,25334033,12.9,12.95,12.65,12.8,-0.1,601
3,2020-03-05,10202290,137081846,13.0,13.6,13.0,13.4,0.6,3442
4,2020-03-06,2347374,31055151,13.15,13.4,13.1,13.3,-0.1,792
5,2020-03-09,4672983,59507177,13.2,13.2,12.3,12.35,-0.95,1708
6,2020-03-10,3282563,40161234,12.05,12.5,11.9,12.35,0.0,1145
7,2020-03-11,2326054,28818698,12.65,12.65,12.05,12.15,-0.2,871
8,2020-03-12,6288836,71315072,12.0,12.0,10.95,11.15,-1.0,1872
9,2020-03-13,7115030,71959442,10.1,10.4,10.05,10.2,-0.95,1865
10,2020-03-16,4589746,46417120,10.25,10.55,9.69,9.82,-0.38,1342
11,2020-03-17,4812256,44042867,9.0,9.58,8.86,8.9,-0.92,1487
12,2020-03-18,4031031,36503660,9.0,9.23,8.9,8.9,0.0,1607
13,2020-03-19,5187646,42156658,8.9,8.9,8.01,8.01,-0.89,1273
14,2020-03-20,4061725,35171621,8.18,8.81,8.18,8.81,0.8,1330
15,2020-03-23,2991650,25492470,8.48,8.69,8.3,8.34,-0.47,923
16,2020-03-24,2156042,19112915,8.6,9.0,8.6,8.91,0.57,743
17,2020-03-25,3930839,37718902,9.4,9.71,9.4,9.56,0.65,1309
18,2020-03-26,5663442,54495940,9.76,9.84,9.43,9.53,-0.03,1683
19,2020-03-27,2949175,28452572,9.85,9.86,9.42,9.42,-0.11,946
20,2020-03-30,1601134,14855011,9.35,9.48,9.1,9.48,0.06,905
21,2020-03-31,8366446,82541678,9.94,10.05,9.65,9.69,0.21,2995
