,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-12-01,11604556,154043991,13.25,13.7,12.85,13.65,0.45,2792
1,2020-12-02,37583439,552748568,14.3,15.0,14.1,15.0,1.35,7746
2,2020-12-03,27878961,404433447,15.0,15.0,14.15,14.25,-0.75,7505
3,2020-12-04,17874843,258386552,14.4,14.65,14.2,14.65,0.4,4615
4,2020-12-07,16017775,238704607,14.8,15.4,14.6,14.85,0.2,4285
5,2020-12-08,7000926,102314630,14.85,14.9,14.45,14.65,-0.2,1968
6,2020-12-09,6922456,101548807,14.9,14.9,14.5,14.7,0.05,1928
7,2020-12-10,6877813,98760751,14.5,14.6,14.25,14.3,-0.4,1901
8,2020-12-11,7367522,103951793,14.45,14.6,13.8,14.15,-0.15,1755
9,2020-12-14,5313986,76811064,14.2,14.65,14.1,14.4,0.25,1460
10,2020-12-15,3900028,55494979,14.5,14.5,14.05,14.1,-0.3,1118
11,2020-12-16,3086958,44265299,14.4,14.45,14.25,14.35,0.25,919
12,2020-12-17,23678442,353244840,14.6,15.15,14.55,14.85,0.5,6567
13,2020-12-18,14192685,212969003,14.85,15.3,14.65,15.05,0.2,4289
14,2020-12-21,11511409,173240346,15.15,15.25,14.7,15.15,0.1,3624
15,2020-12-22,9881660,147233805,15.15,15.25,14.5,14.6,-0.55,4259
16,2020-12-23,6196667,92027962,14.7,15.15,14.5,15.0,0.4,2019
17,2020-12-24,4294338,64170607,15.0,15.1,14.85,15.0,0.0,1555
18,2020-12-25,4519594,67852172,15.2,15.2,14.85,14.9,-0.1,1532
19,2020-12-28,28133486,442251372,15.15,16.1,15.05,15.95,1.05,8247
20,2020-12-29,10692199,167400858,15.95,16.0,15.4,15.5,-0.45,3760
21,2020-12-30,5736926,87589014,15.5,15.5,15.1,15.25,-0.25,2188
22,2020-12-31,5287075,80084758,15.4,15.4,14.9,15.05,-0.2,1684
