,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-11-02,1994562,21927779,11.1,11.2,10.85,11.0,-0.05,570
1,2020-11-03,1189157,13227197,11.15,11.25,10.95,11.1,0.1,552
2,2020-11-04,1818913,20236784,11.2,11.3,11.05,11.05,-0.05,629
3,2020-11-05,699696,7776928,11.1,11.2,11.05,11.05,0.0,405
4,2020-11-06,2987705,33647170,11.15,11.4,11.1,11.15,0.1,1002
5,2020-11-09,1828430,20490453,11.3,11.35,11.1,11.2,0.05,604
6,2020-11-10,8751114,100033330,11.3,11.6,11.2,11.45,0.25,2492
7,2020-11-11,3147550,35444745,11.4,11.4,11.15,11.25,-0.2,1108
8,2020-11-12,1644363,18536168,11.3,11.35,11.2,11.3,0.05,571
9,2020-11-13,1008917,11332807,11.25,11.35,11.2,11.3,0.0,363
10,2020-11-16,10483423,122426602,11.3,11.85,11.3,11.75,0.45,2730
11,2020-11-17,2948497,34451069,11.85,11.85,11.55,11.7,-0.05,910
12,2020-11-18,6016035,71132950,11.7,11.95,11.65,11.9,0.2,1525
13,2020-11-19,4549600,54265927,11.9,12.1,11.8,11.8,-0.1,1221
14,2020-11-20,4781001,57134900,11.8,12.15,11.75,12.15,0.35,1234
15,2020-11-23,12042698,149563253,12.4,12.8,12.2,12.35,0.2,3585
16,2020-11-24,19811075,252078076,12.3,13.05,12.3,12.6,0.25,4721
17,2020-11-25,5067560,64036578,12.9,12.9,12.45,12.6,0.0,1673
18,2020-11-26,5196226,66189619,12.75,12.95,12.55,12.8,0.2,1496
19,2020-11-27,5819758,75125283,12.9,13.1,12.75,12.95,0.15,1490
20,2020-11-30,12706165,168947119,13.15,13.6,13.1,13.2,0.25,3008
