,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2021-07-01,58378419,1999245362,34.85,34.85,33.9,34.0,-0.85,22232
1,2021-07-02,83032982,2880354320,34.05,35.1,34.0,34.8,0.8,28348
2,2021-07-05,89293350,3161691371,35.1,35.9,35.0,35.2,0.4,30934
3,2021-07-06,43129227,1508388777,35.55,35.7,34.55,34.7,-0.5,17145
4,2021-07-07,53729699,1871479911,34.5,35.1,34.4,35.0,0.3,19237
5,2021-07-08,64681644,2277489286,35.4,35.6,34.85,34.85,-0.15,22418
6,2021-07-09,195886300,6963602009,35.0,36.15,34.9,35.3,0.45,60799
7,2021-07-12,102854798,3667028343,36.1,36.35,35.0,35.0,-0.3,33307
8,2021-07-13,513860692,19362991405,35.7,38.25,35.45,38.05,0.0,128140
9,2021-07-14,295331065,10710320567,38.3,38.5,35.1,35.1,-2.95,105832
10,2021-07-15,94198566,3313739070,35.4,35.9,34.7,35.2,0.1,35066
11,2021-07-16,68199344,2383165753,34.75,35.55,34.5,35.0,-0.2,25399
12,2021-07-19,107915727,3668596033,34.6,34.65,33.6,34.0,-1.0,40707
13,2021-07-20,77171515,2569719588,33.5,33.8,33.0,33.05,-0.95,32583
14,2021-07-21,81726043,2661418321,33.55,33.65,31.95,32.1,-0.95,34752
15,2021-07-22,75818295,2499548614,32.8,33.6,32.4,33.2,1.1,28585
16,2021-07-23,72933219,2434690778,33.3,33.75,33.0,33.55,0.35,24883
17,2021-07-26,61695806,2096400452,33.95,34.35,33.7,33.75,0.2,19299
18,2021-07-27,50301609,1706528736,34.2,34.45,33.6,33.65,-0.1,17592
19,2021-07-28,101304478,3229620343,33.3,33.45,30.95,32.0,-1.65,39820
20,2021-07-29,43303120,1408708836,32.55,33.0,31.95,33.0,1.0,15287
21,2021-07-30,161839832,5557303067,33.3,35.2,33.2,34.2,1.2,55836
