Date,TradeVolume,TradeValue,Open,High,Low,Close,Change,Transaction,MA_5,MA_20,MA_60,MA_120,EMA_12,EMA_26,DIF,DEM,OSC,BIAS_5,BIAS_20,BIAS_60,BIAS_120
2020-01-02,33282120,11224165450,332.5,339.0,332.5,339.0,8.0,17160,0.0,0.0,0.0,0.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,42023268,14295651580,344.0,345.0,335.5,339.5,0.5,20545,0.0,0.0,0.0,0.0,339.2708333333333,339.25961538461536,0.011217948717956006,0.00623219373219778,0.004985754985758225,0.0,0.0,0.0,0.0
2020-01-06,45677057,15210531318,333.0,334.5,332.0,332.0,-7.5,22944,0.0,0.0,0.0,0.0,336.43302540415704,336.65130606209954,-0.2182806579425005,-0.08578127006890807,-0.13249938787359244,0.0,0.0,0.0,0.0
2020-01-07,51746181,17053282011,332.5,333.0,326.5,329.5,-2.5,22362,0.0,0.0,0.0,0.0,334.244540229885,334.652113396205,-0.40757316631999174,-0.194789365004912,-0.21278380131507973,0.0,0.0,0.0,0.0
2020-01-08,37913748,12484410088,325.0,333.0,325.0,329.5,0.0,18228,333.9,0.0,0.0,0.0,332.95546560630123,333.4573170492237,-0.5018514429224865,-0.28613339103941177,-0.21571805188307475,-0.013177598083258394,0.0,0.0,0.0
2020-01-09,32397504,10890847940,335.0,337.5,333.5,337.5,8.0,16793,333.6,0.0,0.0,0.0,334.060026551036,334.2670342009817,-0.20700764994569454,-0.26468591589691315,0.05767826595121861,0.01169064748201432,0.0,0.0,0.0
2020-01-10,27880115,9432320316,340.5,341.0,336.0,339.5,2.0,13296,333.6,0.0,0.0,0.0,335.27393759315754,335.19769004136145,0.07624755179608655,-0.17840475050109644,0.254652302297183,0.017685851318944776,0.0,0.0,0.0
2020-01-13,30663332,10455852739,342.0,342.0,339.0,341.5,2.0,13457,335.5,0.0,0.0,0.0,336.5732208545048,336.21314833638735,0.36007251811747665,-0.048998536784772555,0.4090710549022492,0.01788375558867362,0.0,0.0,0.0
2020-01-14,30368993,10488360978,345.5,346.0,344.5,346.0,4.5,16339,338.8,0.0,0.0,0.0,338.4381732965897,337.6637746030731,0.7743986935166163,0.14121030830957204,0.6331883852070442,0.02125147579693031,0.0,0.0,0.0
2020-01-15,54575274,18590754206,345.0,345.0,337.5,340.0,-6.0,20392,340.9,0.0,0.0,0.0,338.73413884989077,337.9861509700964,0.7479878797943798,0.2771637077118543,0.47082417208252547,-0.002640070401877317,0.0,0.0,0.0
2020-01-16,58217420,19431133895,330.0,336.5,330.0,334.5,-5.5,24721,340.3,0.0,0.0,0.0,337.9593935326594,337.5339960848607,0.4253974477987299,0.30959640304474756,0.11580104475398234,-0.017043784895680314,0.0,0.0,0.0
2020-01-17,53908097,17977119406,334.0,335.5,332.0,333.0,-1.5,23954,339.0,0.0,0.0,0.0,337.0776296435451,336.97692322632724,0.10070641721785023,0.26473559459687646,-0.16402917737902623,-0.017699115044247787,0.0,0.0,0.0
2020-01-20,35551203,11865436839,334.0,335.5,333.0,333.0,0.0,15095,337.3,0.0,0.0,0.0,336.36959823038353,336.5110273876948,-0.14142915731127914,0.17877702169459064,-0.3202061790058698,-0.012748295286095498,0.0,0.0,0.0
2020-01-30,126820049,40734449874,326.0,326.0,316.5,316.5,-16.5,55603,331.4,0.0,0.0,0.0,332.9864400524162,334.26355086549194,-1.2771108130757511,-0.1257957996002044,-1.1513150134755468,-0.04496077248038617,0.0,0.0,0.0
2020-01-31,62912055,20205365710,323.0,323.5,319.0,320.0,3.5,22639,327.4,0.0,0.0,0.0,330.8109890235412,332.720584053652,-1.9095950301107791,-0.4955657699255216,-1.4140292601852575,-0.0226023213194868,0.0,0.0,0.0
