,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-06-01,419047,18986679,45.1,45.5,45.0,45.4,0.4,253
1,2020-06-02,397277,18110587,45.75,45.75,45.45,45.45,0.05,284
2,2020-06-03,1226572,56405950,45.6,46.3,45.6,45.9,0.45,753
3,2020-06-04,503307,23258951,46.35,46.5,46.05,46.05,0.15,337
4,2020-06-05,642934,29716748,46.1,46.35,46.05,46.2,0.15,441
5,2020-06-08,531029,24513083,46.45,46.45,45.7,46.2,0.0,387
6,2020-06-09,387826,17817684,46.3,46.3,45.75,45.9,-0.3,264
7,2020-06-10,976141,45400808,46.9,46.9,46.2,46.2,0.3,730
8,2020-06-11,1027653,47207990,46.2,46.45,45.3,45.3,-0.9,653
9,2020-06-12,556556,24905404,44.5,45.25,44.3,45.25,-0.05,394
10,2020-06-15,773394,34770036,45.25,45.3,44.65,45.15,-0.1,509
11,2020-06-16,439356,19908175,45.4,45.4,45.05,45.3,0.15,362
12,2020-06-17,261779,11865614,45.3,45.4,45.25,45.3,0.0,196
13,2020-06-18,566871,25955416,45.4,46.15,45.4,46.0,0.7,446
14,2020-06-19,749758,34420479,46.05,46.1,45.65,45.95,-0.05,351
15,2020-06-22,584284,26895089,45.85,46.2,45.8,45.95,0.0,455
16,2020-06-23,231816,10681186,46.4,46.4,45.9,46.0,0.05,202
17,2020-06-24,355923,16394942,45.9,46.15,45.9,46.1,0.1,297
18,2020-06-29,661243,30299775,46.0,46.15,45.6,46.0,-0.1,464
19,2020-06-30,467197,21525780,46.0,46.3,45.8,46.25,0.25,321
