Unnamed: 0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,364075,17339660,47.85,47.85,47.55,47.55,-0.3,225
1,2020-01-03,930553,43765965,47.55,47.6,46.7,47.3,-0.25,589
2,2020-01-06,635314,29742948,47.0,47.0,46.6,46.8,-0.5,447
3,2020-01-07,504431,23560275,46.8,47.0,46.6,46.75,-0.05,302
4,2020-01-08,442673,20626091,46.7,46.75,46.2,46.45,-0.3,386
5,2020-01-09,354563,16622227,46.7,47.1,46.65,46.75,0.3,272
6,2020-01-10,394583,18500332,47.0,47.0,46.55,47.0,0.25,340
7,2020-01-13,535706,25403423,47.15,47.8,47.0,47.75,0.75,376
8,2020-01-14,1012033,48574634,47.8,48.2,47.5,48.2,0.45,620
9,2020-01-15,1165801,56310361,48.15,48.5,47.95,48.2,0.0,750
10,2020-01-16,325235,15655588,48.25,48.25,47.95,48.2,0.0,280
11,2020-01-17,317279,15268142,48.25,48.25,48.0,48.2,0.0,240
12,2020-01-20,708379,34045532,48.05,48.3,47.55,48.2,0.0,464
13,2020-01-30,1432190,65860922,45.65,46.85,45.65,46.1,-2.1,933
14,2020-01-31,749467,34865849,46.25,46.9,46.0,46.9,0.8,541
0,2020-02-03,686799,31580750,45.75,46.8,45.2,46.65,-0.25,433
1,2020-02-04,396246,18476735,46.75,46.85,46.35,46.5,-0.15,282
2,2020-02-05,454556,21193151,46.6,46.85,46.1,46.5,0.0,320
3,2020-02-06,516167,24408531,46.65,47.5,46.65,47.4,0.9,425
4,2020-02-07,758161,35692211,46.8,47.6,46.7,47.3,-0.1,563
5,2020-02-10,456519,21318335,47.1,47.1,46.3,46.9,-0.4,352
6,2020-02-11,363996,17082409,46.9,47.25,46.8,46.9,0.0,239
7,2020-02-12,471621,22264079,47.0,47.3,47.0,47.15,0.25,379
8,2020-02-13,634501,30211393,47.2,47.75,47.2,47.6,0.45,504
9,2020-02-14,1098482,52769755,47.6,48.2,47.6,48.15,0.55,738
10,2020-02-17,1278558,62068682,48.2,48.8,48.15,48.6,0.45,801
11,2020-02-18,621902,30132111,48.75,48.75,48.0,48.6,0.0,473
12,2020-02-19,719654,35092665,48.6,49.05,48.5,48.5,-0.1,471
13,2020-02-20,421766,20444731,48.55,48.6,48.3,48.55,0.05,319
14,2020-02-21,427563,20675932,48.55,48.55,48.25,48.25,-0.3,366
15,2020-02-24,881159,41907021,47.85,47.9,47.2,47.7,-0.55,642
16,2020-02-25,548143,25943254,47.0,47.7,46.4,47.6,-0.1,444
17,2020-02-26,435456,20633988,47.5,47.6,47.0,47.5,-0.1,392
18,2020-02-27,887448,41668398,47.0,47.35,46.4,47.2,-0.3,590
0,2020-03-02,1722202,78942204,46.0,46.45,45.3,46.0,-1.2,1223
1,2020-03-03,783663,36535809,46.2,47.1,46.2,46.7,0.7,539
2,2020-03-04,712733,33248501,46.25,47.0,46.1,46.95,0.25,487
3,2020-03-05,580400,27375950,46.95,47.4,46.85,47.05,0.1,415
4,2020-03-06,640451,29529378,47.05,47.05,45.8,46.35,-0.7,453
5,2020-03-09,1174124,53369779,46.2,46.2,45.05,45.55,-0.8,756
6,2020-03-10,1159551,52040644,44.6,45.55,44.45,45.55,0.0,822
7,2020-03-11,616990,28132493,45.7,46.2,45.05,45.55,0.0,481
8,2020-03-12,1558164,68201232,45.1,45.1,43.1,44.0,-1.55,1102
9,2020-03-13,2544058,103059281,40.6,42.4,39.65,42.4,-1.6,1521
10,2020-03-16,1311645,53576520,42.05,42.15,39.95,40.15,-2.25,930
11,2020-03-17,1972306,76389834,38.2,39.65,38.2,38.9,-1.25,1301
12,2020-03-18,1205175,46301650,39.2,39.95,37.95,38.5,-0.4,835
13,2020-03-19,2035438,71381468,37.6,37.75,34.65,35.0,-3.5,1259
14,2020-03-20,1370680,49737186,35.4,37.35,35.4,35.8,0.8,905
15,2020-03-23,998021,34612075,34.95,35.25,33.9,34.8,-1.0,411
