,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-12-01,2035684,112843152,55.7,56.0,54.8,55.8,0.8,1036
1,2020-12-02,1471215,82442204,55.9,56.4,55.6,56.3,0.5,855
2,2020-12-03,1045991,58642246,56.3,56.5,55.5,55.9,-0.4,683
3,2020-12-04,1250226,70100135,56.2,56.3,55.8,56.2,0.3,800
4,2020-12-07,1543890,87167104,56.2,57.2,56.0,56.3,0.1,1064
5,2020-12-08,1711747,97052298,56.4,57.2,56.2,57.1,0.8,1036
6,2020-12-09,2416255,140216811,57.4,58.4,57.0,58.3,1.2,1517
7,2020-12-10,1915097,110195833,58.3,58.3,56.9,57.4,-0.9,1214
8,2020-12-11,2281530,128328056,57.4,57.7,55.6,56.1,-1.3,1484
9,2020-12-14,853226,48143470,56.1,57.1,56.0,56.3,0.2,622
10,2020-12-15,1447916,79689325,56.5,56.5,54.4,54.6,-1.7,1070
11,2020-12-16,1527242,84065941,55.2,55.6,54.5,55.0,0.4,979
12,2020-12-17,799490,43897547,55.0,55.6,54.5,54.8,-0.2,514
13,2020-12-18,1041050,56544695,55.0,55.1,53.9,53.9,-0.9,624
14,2020-12-21,773209,41676493,54.0,54.4,53.4,54.2,0.3,544
15,2020-12-22,674898,36386327,54.3,54.6,52.9,53.2,-1.0,399
16,2020-12-23,519968,27696776,53.2,53.6,52.7,53.4,0.2,372
17,2020-12-24,748456,40415115,53.7,54.3,53.7,53.9,0.5,487
18,2020-12-25,819000,44612216,54.0,54.8,54.0,54.3,0.4,510
19,2020-12-28,834278,45517766,54.8,54.9,54.3,54.6,0.3,515
20,2020-12-29,885493,48217887,54.5,54.9,54.1,54.4,-0.2,523
21,2020-12-30,977914,53318524,54.4,55.0,54.1,54.8,0.4,529
22,2020-12-31,983854,54128763,54.9,56.0,54.0,56.0,1.2,546
