,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-08-03,30327,182589,5.96,6.1,5.96,6.1,0.16,8
1,2020-08-04,1434,8029,0.0,0.0,0.0,0.0,0.0,4
2,2020-08-05,91783,574217,6.1,6.3,6.1,6.15,0.0,27
3,2020-08-06,12348,76163,6.74,6.74,6.01,6.02,-0.13,8
4,2020-08-07,60000,360570,6.02,6.02,6.0,6.0,-0.02,14
5,2020-08-10,17000,102010,6.0,6.01,6.0,6.01,0.01,8
6,2020-08-11,4594,27253,6.01,6.01,5.9,5.9,-0.11,4
7,2020-08-12,9000,53100,5.9,5.9,5.9,5.9,0.0,2
8,2020-08-13,85998,523988,6.0,6.38,6.0,6.38,0.48,28
9,2020-08-14,20099,125049,6.2,6.2,6.2,6.2,-0.18,12
10,2020-08-17,25901,160027,6.7,6.7,6.0,6.03,-0.17,16
11,2020-08-18,12478,75423,6.04,6.05,6.04,6.05,0.02,6
12,2020-08-19,25829,154586,6.02,6.03,6.02,6.03,-0.02,10
13,2020-08-20,56001,337986,6.04,6.04,6.03,6.04,0.01,14
14,2020-08-21,3000,18060,6.02,6.02,6.02,6.02,-0.02,3
15,2020-08-24,25478,153865,6.01,6.05,6.01,6.05,0.03,9
16,2020-08-25,130786,788596,6.05,6.05,6.01,6.05,0.0,44
17,2020-08-26,104115,623532,5.45,6.03,5.45,6.03,-0.02,59
18,2020-08-27,154328,930406,6.02,6.05,6.02,6.04,0.01,19
19,2020-08-28,62350,375759,6.03,6.2,6.01,6.17,0.13,29
20,2020-08-31,95567,574797,6.02,6.02,6.01,6.02,-0.15,32
