,Date,Open,High,Low,close,MA_5,MA_20,MA_60,MA_120
0,2019-01-02,9725.27,9737.68,9542.52,9554.14,0.0,0.0,0.0,0.0
1,2019-01-03,9494.25,9554.53,9474.47,9492.42,0.0,0.0,0.0,0.0
2,2019-01-04,9427.24,9427.24,9319.28,9382.51,0.0,0.0,0.0,0.0
3,2019-01-07,9460.2,9596.35,9460.2,9590.3,0.0,0.0,0.0,0.0
4,2019-01-08,9591.56,9600.94,9547.63,9563.6,9516.594000000001,0.0,0.0,0.0
5,2019-01-09,9584.63,9741.64,9584.63,9738.31,9553.428,0.0,0.0,0.0
6,2019-01-10,9731.11,9731.11,9683.2,9720.69,9599.082,0.0,0.0,0.0
7,2019-01-11,9753.63,9796.98,9736.0,9759.4,9674.460000000001,0.0,0.0,0.0
8,2019-01-14,9737.67,9762.37,9677.49,9708.22,9698.043999999998,0.0,0.0,0.0
9,2019-01-15,9701.93,9806.04,9701.93,9806.04,9746.532,0.0,0.0,0.0
10,2019-01-16,9781.35,9803.99,9763.81,9763.81,9751.632000000001,0.0,0.0,0.0
11,2019-01-17,9773.31,9826.25,9759.51,9789.15,9765.323999999999,0.0,0.0,0.0
12,2019-01-18,9781.39,9842.8,9771.15,9836.06,9780.655999999999,0.0,0.0,0.0
13,2019-01-21,9870.27,9919.94,9870.27,9889.4,9816.892,0.0,0.0,0.0
14,2019-01-22,9880.54,9894.66,9855.47,9894.66,9834.616,0.0,0.0,0.0
15,2019-01-23,9869.54,9873.39,9828.03,9846.4,9851.134,0.0,0.0,0.0
16,2019-01-24,9865.0,9892.82,9847.32,9877.12,9868.728,0.0,0.0,0.0
17,2019-01-25,9923.39,9980.08,9918.21,9969.61,9895.438,0.0,0.0,0.0
18,2019-01-28,10006.46,10020.6,9990.07,10013.33,9920.224,0.0,0.0,0.0
19,2019-01-29,9944.71,9952.34,9893.96,9931.59,9927.61,9756.338,0.0,0.0
20,2019-01-30,9915.97,9959.03,9909.81,9932.26,9944.782000000001,9775.243999999999,0.0,0.0
21,2019-02-11,10029.84,10065.52,9988.83,10004.25,9970.208,9800.8355,0.0,0.0
22,2019-02-12,10032.08,10100.23,10032.08,10097.74,9995.833999999999,9836.597,0.0,0.0
23,2019-02-13,10123.61,10140.98,10074.34,10090.58,10011.284,9861.611,0.0,0.0
24,2019-02-14,10095.99,10135.62,10082.0,10089.01,10042.768,9887.8815,0.0,0.0
25,2019-02-15,10111.18,10135.16,10055.5,10064.78,10069.272,9904.205,0.0,0.0
26,2019-02-18,10096.94,10165.77,10096.94,10145.28,10097.478,9925.4345,0.0,0.0
27,2019-02-19,10152.11,10173.47,10143.15,10152.26,10108.382,9945.077500000001,0.0,0.0
28,2019-02-20,10181.94,10272.46,10181.94,10272.46,10144.758,9973.2895,0.0,0.0
29,2019-02-21,10282.32,10319.53,10256.53,10319.53,10190.862,9998.964,0.0,0.0
30,2019-02-22,10309.02,10322.92,10269.95,10322.92,10242.490000000002,10026.9195,0.0,0.0
31,2019-02-25,10343.45,10390.93,10343.45,10390.93,10291.619999999999,10057.0085,0.0,0.0
32,2019-02-26,10403.03,10416.91,10368.86,10391.55,10339.478,10084.783,0.0,0.0
33,2019-02-27,10385.81,10403.05,10343.56,10389.17,10362.820000000002,10109.7715,0.0,0.0
34,2019-03-04,10385.25,10402.39,10313.18,10349.88,10368.890000000001,10132.5325,0.0,0.0
35,2019-03-05,10323.25,10334.34,10295.44,10305.26,10365.357999999998,10155.4755,0.0,0.0
36,2019-03-06,10328.18,10359.12,10327.9,10357.15,10358.601999999999,10179.476999999999,0.0,0.0
37,2019-03-07,10359.47,10367.98,10299.46,10311.68,10342.628,10196.5805,0.0,0.0
38,2019-03-08,10274.28,10274.28,10204.21,10241.75,10313.144,10208.001500000002,0.0,0.0
39,2019-03-11,10224.27,10269.3,10214.02,10250.28,10293.223999999998,10223.936,0.0,0.0
40,2019-03-12,10294.37,10382.12,10294.37,10343.33,10300.838,10244.4895,0.0,0.0
41,2019-03-13,10331.27,10373.32,10331.27,10373.32,10304.072,10262.943000000001,0.0,0.0
42,2019-03-14,10391.3,10407.27,10339.64,10348.65,10311.466,10275.4885,0.0,0.0
43,2019-03-15,10374.66,10439.24,10370.0,10439.24,10350.964,10292.9215,0.0,0.0
44,2019-03-18,10455.19,10512.7,10445.74,10512.7,10403.448,10314.106,0.0,0.0
45,2019-03-19,10497.4,10525.6,10484.69,10512.32,10437.246000000001,10336.483,0.0,0.0
46,2019-03-20,10529.3,10556.81,10506.96,10551.56,10472.894,10356.797,0.0,0.0
47,2019-03-21,10563.93,10612.34,10551.67,10609.55,10525.073999999999,10379.661499999998,0.0,0.0
48,2019-03-22,10642.57,10667.94,10589.47,10639.07,10565.039999999999,10397.992,0.0,0.0
49,2019-03-25,10535.12,10535.12,10458.79,10479.48,10558.395999999999,10405.9895,0.0,0.0
50,2019-03-26,10506.68,10559.2,10506.68,10559.2,10567.772,10417.8035,0.0,0.0
51,2019-03-27,10542.68,10556.75,10515.86,10542.7,10566.0,10425.392,0.0,0.0
52,2019-03-28,10529.02,10536.26,10499.29,10536.26,10551.342,10432.627499999999,0.0,0.0
53,2019-03-29,10551.99,10641.04,10525.27,10641.04,10551.736,10445.221,0.0,0.0
54,2019-04-01,10714.68,10735.07,10627.01,10642.63,10584.366,10459.8585,0.0,0.0
55,2019-04-02,10695.47,10728.38,10685.1,10690.3,10610.586000000001,10479.110499999999,0.0,0.0
56,2019-04-03,10725.17,10741.56,10690.23,10704.38,10642.922,10496.472,0.0,0.0
57,2019-04-08,10759.96,10807.05,10759.96,10800.57,10695.784,10520.9165,0.0,0.0
58,2019-04-09,10805.39,10851.6,10793.77,10851.6,10737.895999999999,10551.409,0.0,0.0
59,2019-04-10,10839.93,10875.65,10815.61,10868.14,10782.998,10582.302,10187.525333333333,0.0
60,2019-04-11,10869.24,10887.12,10797.76,10808.77,10806.692000000001,10605.574,10208.435833333333,0.0
61,2019-04-12,10820.94,10836.44,10782.02,10805.3,10826.876,10627.172999999999,10230.317166666666,0.0
62,2019-04-15,10849.84,10897.21,10849.55,10875.6,10841.882,10653.5205,10255.202,0.0
63,2019-04-16,10905.63,10927.85,10876.34,10927.85,10857.132000000001,10677.951000000001,10277.4945,0.0
64,2019-04-17,10961.61,11016.92,10961.61,10997.26,10882.956,10702.179,10301.388833333334,0.0
65,2019-04-18,11038.24,11077.99,10926.85,10962.02,10913.606,10724.664,10321.783999999998,0.0
66,2019-04-19,11017.69,11045.08,10950.43,10968.5,10946.246000000001,10745.511,10342.580833333333,0.0
67,2019-04-22,10994.52,11027.49,10974.82,10987.71,10968.668000000001,10764.419,10363.052666666666,0.0
68,2019-04-23,10994.28,11025.68,10949.3,11025.68,10988.234,10783.7495,10385.010333333334,0.0
69,2019-04-24,11054.02,11070.85,10995.83,11027.64,10994.310000000001,10811.157500000001,10405.370333333332,0.0
70,2019-04-25,11017.73,11046.77,11006.68,11039.86,11009.878,10835.1905,10426.637833333334,0.0
71,2019-04-26,10986.53,10986.53,10906.44,10952.47,11006.672,10855.679,10446.026500000002,0.0
72,2019-04-29,10952.91,10992.55,10905.78,10939.06,10996.942,10875.819,10464.409833333333,0.0
73,2019-04-30,10945.94,10978.1,10910.78,10967.73,10985.351999999999,10892.1535,10482.382,0.0
74,2019-05-02,10992.76,11046.64,10988.7,11004.49,10980.722,10910.2465,10500.879166666668,0.0
75,2019-05-03,11037.99,11097.0,11018.86,11096.3,10992.009999999998,10930.5465,10521.710833333334,0.0
76,2019-05-06,11005.36,11005.36,10870.4,10897.12,10980.94,10940.183500000001,10538.710833333334,0.0
77,2019-05-07,10913.95,11004.76,10913.95,10987.14,10990.556,10949.511999999999,10555.669666666667,0.0
78,2019-05-08,10938.47,10946.82,10867.06,10923.71,10981.752,10953.117499999998,10570.842666666666,0.0
79,2019-05-09,10910.47,10910.47,10732.97,10733.67,10927.588,10946.394,10584.210666666668,0.0
80,2019-05-10,10751.55,10834.69,10669.39,10712.99,10850.926,10941.605,10597.222833333333,0.0
81,2019-05-13,10684.04,10693.44,10549.06,10558.29,10783.16,10929.2545,10606.456833333334,0.0
82,2019-05-14,10480.21,10544.97,10363.02,10519.25,10689.581999999999,10911.437,10613.482,0.0
83,2019-05-15,10535.24,10612.5,10535.24,10560.71,10616.982,10893.079999999998,10621.317500000001,0.0
84,2019-05-16,10556.58,10573.93,10474.61,10474.61,10565.17,10866.9475,10627.744166666667,0.0
85,2019-05-17,10508.56,10564.97,10384.11,10384.11,10499.394,10838.052,10633.066333333332,0.0
86,2019-05-20,10405.36,10465.84,10385.18,10398.41,10467.418000000001,10809.547499999999,10637.285166666667,0.0
87,2019-05-21,10362.35,10477.2,10342.32,10464.5,10456.468,10783.386999999999,10642.489166666666,0.0
88,2019-05-22,10481.1,10520.62,10453.5,10457.22,10435.77,10754.964,10645.5685,0.0
89,2019-05-23,10404.0,10404.0,10289.69,10308.37,10402.522,10719.000499999998,10645.3825,0.0
90,2019-05-24,10313.15,10370.97,10308.59,10328.28,10391.356,10683.4215,10645.471833333335,0.0
91,2019-05-27,10344.18,10365.44,10305.28,10334.13,10378.5,10652.5045,10644.525166666666,0.0
92,2019-05-28,10348.58,10361.61,10312.31,10312.31,10348.062,10621.167,10643.204499999998,0.0
93,2019-05-29,10277.35,10307.75,10227.44,10301.78,10316.973999999998,10587.869499999999,10641.748,0.0
94,2019-05-30,10307.12,10384.36,10306.03,10382.99,10331.898000000001,10556.7945,10642.299833333333,0.0
95,2019-05-31,10386.12,10515.1,10369.02,10498.49,10365.94,10526.904,10645.520333333332,0.0
96,2019-06-03,10482.45,10511.2,10383.51,10500.07,10399.128,10507.0515,10647.902333333333,0.0
97,2019-06-04,10499.51,10518.33,10421.81,10429.12,10422.49,10479.1505,10649.859666666667,0.0
98,2019-06-05,10497.5,10541.29,10446.51,10461.62,10454.458,10456.046,10653.524166666668,0.0
99,2019-06-06,10409.9,10429.33,10371.08,10409.2,10459.7,10439.8225,10656.172833333334,0.0
100,2019-06-10,10486.23,10566.47,10466.24,10566.47,10473.295999999998,10432.496500000001,10659.891833333331,0.0
101,2019-06-11,10567.54,10637.9,10548.06,10607.76,10494.833999999999,10434.97,10663.799166666666,0.0
