Date,Open,High,Low,close
2021-02-01,15176.56,15429.98,15089.96,15410.09
2021-02-02,15546.69,15838.15,15546.69,15760.05
2021-02-03,15828.64,15896.4,15741.16,15771.32
2021-02-04,15697.75,15801.37,15606.74,15706.22
2021-02-05,15805.76,15938.09,15774.34,15802.4
2021-02-17,16197.45,16406.78,16197.45,16362.29
2021-02-18,16366.23,16517.73,16323.22,16424.51
2021-02-19,16376.91,16382.7,16211.25,16341.38
2021-02-22,16445.87,16579.17,16410.16,16410.16
2021-02-23,16320.88,16467.75,16211.75,16443.4
2021-02-24,16329.54,16456.94,16212.53,16212.53
2021-02-25,16376.8,16474.05,16322.27,16452.18
2021-02-26,16190.04,16190.04,15953.8,15953.8
