Date,Open,High,Low,close
2019-08-01,10773.06,10773.25,10714.73,10731.75
2019-08-02,10641.28,10641.28,10524.68,10549.04
2019-08-05,10528.87,10542.49,10418.25,10423.41
2019-08-06,10304.88,10425.6,10180.04,10394.75
2019-08-07,10422.89,10461.37,10366.54,10386.18
2019-08-08,10383.62,10500.77,10383.62,10494.49
2019-08-12,10491.79,10514.05,10440.77,10472.36
2019-08-13,10436.62,10436.62,10361.89,10362.66
2019-08-14,10444.5,10518.02,10427.73,10427.73
2019-08-15,10374.75,10374.75,10287.76,10327.13
2019-08-16,10345.42,10456.32,10318.37,10420.89
2019-08-19,10449.39,10516.05,10449.39,10488.75
2019-08-20,10508.42,10538.12,10497.13,10522.5
2019-08-21,10526.87,10545.25,10504.49,10525.8
2019-08-22,10560.01,10596.41,10515.72,10529.78
2019-08-23,10526.15,10541.73,10503.07,10538.11
2019-08-26,10453.4,10453.4,10340.15,10354.57
2019-08-27,10386.21,10431.78,10368.96,10387.23
2019-08-28,10397.6,10456.3,10397.6,10434.29
2019-08-29,10440.15,10466.99,10406.49,10462.43
2019-08-30,10504.28,10618.05,10504.28,10618.05
