Date,Open,High,Low,close
2019-04-01,10714.68,10735.07,10627.01,10642.63
2019-04-02,10695.47,10728.38,10685.1,10690.3
2019-04-03,10725.17,10741.56,10690.23,10704.38
2019-04-08,10759.96,10807.05,10759.96,10800.57
2019-04-09,10805.39,10851.6,10793.77,10851.6
2019-04-10,10839.93,10875.65,10815.61,10868.14
2019-04-11,10869.24,10887.12,10797.76,10808.77
2019-04-12,10820.94,10836.44,10782.02,10805.3
2019-04-15,10849.84,10897.21,10849.55,10875.6
2019-04-16,10905.63,10927.85,10876.34,10927.85
2019-04-17,10961.61,11016.92,10961.61,10997.26
2019-04-18,11038.24,11077.99,10926.85,10962.02
2019-04-19,11017.69,11045.08,10950.43,10968.5
2019-04-22,10994.52,11027.49,10974.82,10987.71
2019-04-23,10994.28,11025.68,10949.3,11025.68
2019-04-24,11054.02,11070.85,10995.83,11027.64
2019-04-25,11017.73,11046.77,11006.68,11039.86
2019-04-26,10986.53,10986.53,10906.44,10952.47
2019-04-29,10952.91,10992.55,10905.78,10939.06
2019-04-30,10945.94,10978.1,10910.78,10967.73
