Date,Open,High,Low,close
2021-07-01,17801.19,17863.9,17644.36,17713.94
2021-07-02,17745.69,17795.88,17676.98,17710.15
2021-07-05,17783.8,17945.52,17783.8,17919.33
2021-07-06,17929.22,18008.37,17895.78,17913.07
2021-07-07,17901.25,17933.62,17756.82,17850.69
2021-07-08,17880.9,17935.11,17742.08,17866.09
2021-07-09,17778.12,17778.12,17597.46,17661.48
2021-07-12,17843.3,17947.9,17759.9,17814.33
2021-07-13,17931.47,18018.04,17786.76,17847.52
2021-07-14,17892.51,17940.86,17716.44,17845.75
2021-07-15,17878.78,18034.19,17878.78,18034.19
2021-07-16,17839.58,17926.38,17779.61,17895.25
2021-07-19,17854.35,17854.35,17708.15,17789.25
2021-07-20,17724.92,17724.92,17500.69,17528.74
2021-07-21,17593.6,17707.56,17352.24,17458.79
2021-07-22,17482.81,17667.38,17482.81,17572.33
2021-07-23,17603.95,17672.6,17511.86,17572.92
2021-07-26,17554.93,17637.36,17403.56,17403.56
2021-07-27,17394.77,17459.35,17264.5,17269.87
2021-07-28,17252.87,17252.87,16893.7,17135.22
2021-07-29,17216.58,17402.81,17190.48,17402.81
2021-07-30,17414.77,17429.01,17237.67,17247.41
