Date,Open,High,Low,close
2019-01-02,9725.27,9737.68,9542.52,9554.14
2019-01-03,9494.25,9554.53,9474.47,9492.42
2019-01-04,9427.24,9427.24,9319.28,9382.51
2019-01-07,9460.2,9596.35,9460.2,9590.3
2019-01-08,9591.56,9600.94,9547.63,9563.6
2019-01-09,9584.63,9741.64,9584.63,9738.31
2019-01-10,9731.11,9731.11,9683.2,9720.69
2019-01-11,9753.63,9796.98,9736.0,9759.4
2019-01-14,9737.67,9762.37,9677.49,9708.22
2019-01-15,9701.93,9806.04,9701.93,9806.04
2019-01-16,9781.35,9803.99,9763.81,9763.81
2019-01-17,9773.31,9826.25,9759.51,9789.15
2019-01-18,9781.39,9842.8,9771.15,9836.06
2019-01-21,9870.27,9919.94,9870.27,9889.4
2019-01-22,9880.54,9894.66,9855.47,9894.66
2019-01-23,9869.54,9873.39,9828.03,9846.4
2019-01-24,9865.0,9892.82,9847.32,9877.12
2019-01-25,9923.39,9980.08,9918.21,9969.61
2019-01-28,10006.46,10020.6,9990.07,10013.33
2019-01-29,9944.71,9952.34,9893.96,9931.59
2019-01-30,9915.97,9959.03,9909.81,9932.26
2019-02-11,10029.84,10065.52,9988.83,10004.25
2019-02-12,10032.08,10100.23,10032.08,10097.74
2019-02-13,10123.61,10140.98,10074.34,10090.58
2019-02-14,10095.99,10135.62,10082.0,10089.01
2019-02-15,10111.18,10135.16,10055.5,10064.78
2019-02-18,10096.94,10165.77,10096.94,10145.28
2019-02-19,10152.11,10173.47,10143.15,10152.26
2019-02-20,10181.94,10272.46,10181.94,10272.46
2019-02-21,10282.32,10319.53,10256.53,10319.53
2019-02-22,10309.02,10322.92,10269.95,10322.92
2019-02-25,10343.45,10390.93,10343.45,10390.93
2019-02-26,10403.03,10416.91,10368.86,10391.55
2019-02-27,10385.81,10403.05,10343.56,10389.17
2019-03-04,10385.25,10402.39,10313.18,10349.88
2019-03-05,10323.25,10334.34,10295.44,10305.26
2019-03-06,10328.18,10359.12,10327.9,10357.15
2019-03-07,10359.47,10367.98,10299.46,10311.68
2019-03-08,10274.28,10274.28,10204.21,10241.75
2019-03-11,10224.27,10269.3,10214.02,10250.28
2019-03-12,10294.37,10382.12,10294.37,10343.33
2019-03-13,10331.27,10373.32,10331.27,10373.32
2019-03-14,10391.3,10407.27,10339.64,10348.65
2019-03-15,10374.66,10439.24,10370.0,10439.24
2019-03-18,10455.19,10512.7,10445.74,10512.7
2019-03-19,10497.4,10525.6,10484.69,10512.32
2019-03-20,10529.3,10556.81,10506.96,10551.56
2019-03-21,10563.93,10612.34,10551.67,10609.55
2019-03-22,10642.57,10667.94,10589.47,10639.07
2019-03-25,10535.12,10535.12,10458.79,10479.48
2019-03-26,10506.68,10559.2,10506.68,10559.2
2019-03-27,10542.68,10556.75,10515.86,10542.7
2019-03-28,10529.02,10536.26,10499.29,10536.26
2019-03-29,10551.99,10641.04,10525.27,10641.04
2019-04-01,10714.68,10735.07,10627.01,10642.63
2019-04-02,10695.47,10728.38,10685.1,10690.3
2019-04-03,10725.17,10741.56,10690.23,10704.38
2019-04-08,10759.96,10807.05,10759.96,10800.57
2019-04-09,10805.39,10851.6,10793.77,10851.6
2019-04-10,10839.93,10875.65,10815.61,10868.14
2019-04-11,10869.24,10887.12,10797.76,10808.77
2019-04-12,10820.94,10836.44,10782.02,10805.3
2019-04-15,10849.84,10897.21,10849.55,10875.6
2019-04-16,10905.63,10927.85,10876.34,10927.85
2019-04-17,10961.61,11016.92,10961.61,10997.26
2019-04-18,11038.24,11077.99,10926.85,10962.02
2019-04-19,11017.69,11045.08,10950.43,10968.5
2019-04-22,10994.52,11027.49,10974.82,10987.71
2019-04-23,10994.28,11025.68,10949.3,11025.68
2019-04-24,11054.02,11070.85,10995.83,11027.64
2019-04-25,11017.73,11046.77,11006.68,11039.86
2019-04-26,10986.53,10986.53,10906.44,10952.47
2019-04-29,10952.91,10992.55,10905.78,10939.06
2019-04-30,10945.94,10978.1,10910.78,10967.73
2019-05-02,10992.76,11046.64,10988.7,11004.49
2019-05-03,11037.99,11097.0,11018.86,11096.3
2019-05-06,11005.36,11005.36,10870.4,10897.12
2019-05-07,10913.95,11004.76,10913.95,10987.14
2019-05-08,10938.47,10946.82,10867.06,10923.71
2019-05-09,10910.47,10910.47,10732.97,10733.67
2019-05-10,10751.55,10834.69,10669.39,10712.99
2019-05-13,10684.04,10693.44,10549.06,10558.29
2019-05-14,10480.21,10544.97,10363.02,10519.25
2019-05-15,10535.24,10612.5,10535.24,10560.71
2019-05-16,10556.58,10573.93,10474.61,10474.61
2019-05-17,10508.56,10564.97,10384.11,10384.11
2019-05-20,10405.36,10465.84,10385.18,10398.41
2019-05-21,10362.35,10477.2,10342.32,10464.5
2019-05-22,10481.1,10520.62,10453.5,10457.22
2019-05-23,10404.0,10404.0,10289.69,10308.37
2019-05-24,10313.15,10370.97,10308.59,10328.28
2019-05-27,10344.18,10365.44,10305.28,10334.13
2019-05-28,10348.58,10361.61,10312.31,10312.31
2019-05-29,10277.35,10307.75,10227.44,10301.78
